taxonomy_details_id;taxonomy_code;taxonomy_name;taxonomy_details;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;taxonomy_details_uuid
1;firewall system;override Cotton;bypass;Metal innovate synthesizing;45984;Industrial;2023-07-06;47651;generating generation connecting;2023-07-05;2ebd1ffa-e073-4561-bfe7-3e6e7d326739
2;gold Ohio;Estonia program Palestinian;program Buckinghamshire;cross-platform communities;35175;virtual;2023-07-05;34854;Executive;2023-07-05;d925cfe8-89bd-4a83-a06e-faeab31b298c
3;Creative networks;circuit;Facilitator Car;navigate Future;29805;Ergonomic;2023-07-05;58590;database benchmark dynamic;2023-07-05;f0166024-def8-41c1-b32e-e0abaf69e5b8
4;Sleek Account;Web;Salad deposit Vatu;Gold;96514;Prairie;2023-07-05;32313;hybrid;2023-07-05;78dbff3c-fb14-4620-a98d-ef6025d1ec7e
5;Wooden circuit;Forward CFP Investment;Street Indiana;Cambridgeshire;54512;Future Sausages incubate;2023-07-06;48069;Vermont Account Response;2023-07-05;c6347652-3771-4aed-9959-87c658fa39e3
6;deploy;Specialist Trail reinvent;Albania;Rubber mobile;46122;state Buckinghamshire;2023-07-05;42024;Drive Investment;2023-07-06;110172aa-f3fb-4d8b-adee-d751aa8e406a
7;Checking Field;Fresh;Soft Towels;Account systemic Ameliorated;18242;services compressing SQL;2023-07-06;39229;Thailand Bahraini Accounts;2023-07-06;018cb12e-0df6-4239-904d-0b3a04ad7f00
8;Soft Metal;Intelligent;niches;copy;67317;Home transmit;2023-07-06;10979;SMTP;2023-07-06;620a5de4-7270-4f0f-a501-e33e70004919
9;Movies;motivating Customer overriding;Gorgeous index Awesome;Garden;60032;virtual as Gorgeous;2023-07-06;32958;infrastructures Ball;2023-07-06;da31c221-924c-4a50-b9f5-48e54fdb629f
10;Account;Frozen Enterprise-wide attitude-oriented;Fresh Pizza dynamic;RSS plum;36566;copying national Pizza;2023-07-05;36964;International;2023-07-05;cec883b4-0324-4a17-995b-fd990664c439
