insurance_pricetable_map_id;insurance_id_no;insurance_name;insurance_payer_id_no;price_table_id;price_table_name;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;insurance_pricetable_map_uuid;insurance_id
1;recontextualize fuchsia;Savings lime;Legacy;72703;moderator;Savings Salad transmitting;85885;contextually-based;2023-07-17;63867;Fresh;2023-07-16;7d00deb8-9000-4d66-8ff9-d09302584340;51070
2;Bedfordshire Handcrafted Loan;Liberia index withdrawal;B2B;48038;Republic;Small extend upward-trending;71528;Maryland Dollar;2023-07-17;95353;payment;2023-07-17;eefe7572-c6e6-4d6f-92ff-d6337d13540f;87533
3;Marketing;client-server;connect Account;35011;intangible web-enabled;extensible override Hat;77695;Pants;2023-07-16;49192;deposit full-range Producer;2023-07-17;708925dd-9996-499f-a877-ed78448c683f;89117
4;Home;Sleek;Account programming Switchable;43306;navigate mission-critical Singapore;architectures;62078;Extended access;2023-07-16;78241;methodologies Group Implemented;2023-07-17;99ed7b0a-a79d-4178-bc78-6f773dc86748;86486
5;Soap Guinea;Oklahoma transition National;Focused Branding program;35254;Markets Chicken;Avon Supervisor;20226;Kansas;2023-07-17;21390;port Designer;2023-07-17;aba12bf6-dd77-493b-adb2-c48a9c857154;42278
6;interface;RSS heuristic bypassing;Square bandwidth Flat;73455;Cook Loan;Concrete Ports;42897;Mountains;2023-07-16;78797;system monitor;2023-07-17;0a816d21-2bd1-4733-95eb-08f33df4496a;20517
7;Berkshire;Field Principal standardization;Namibia Sharable;421;Jersey;deposit;53352;Cuban exuding;2023-07-17;19035;Progressive;2023-07-17;9b2d0523-724e-4f2d-977b-c10a0990194a;4997
8;Tasty transmitting salmon;Granite Wooden;Coordinator Intelligent transmitter;54942;SQL Compatible Guiana;Metal Handmade;4732;Isle Architect;2023-07-17;71574;Ameliorated paradigms;2023-07-17;ed2d796c-0b25-4b61-8705-063b67d329e6;68808
9;Officer Helena Face;Multi-tiered Steel;line Producer;41121;well-modulated orange;Loan;46378;Grass-roots;2023-07-17;85166;Facilitator;2023-07-17;a9809dad-dde9-4fab-b06d-6f59d2914849;72028
10;Product;salmon;States Planner;20955;structure;Graphical application Buckinghamshire;49049;Forges;2023-07-16;14716;Internal;2023-07-17;59b380e9-ab56-4d92-b56b-50b4b27e8220;90337
