id;sals_odr_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;76579;cross-platform hack hacking;navigate Enhanced;users;2022-12-12;deposit
2;72910;methodical;port Concrete Handmade;Plastic card Texas;2022-12-12;Oregon Integration Investor
3;25872;index;solutions project;tolerance Islands;2022-12-12;invoice
4;76314;Outdoors;withdrawal Investor;Awesome;2022-12-12;Meadows hard bus
5;12713;teal copying;systems Function-based;global Fresh;2022-12-12;Iraqi reboot Tuna
6;78315;product stable;Buckinghamshire Pizza SCSI;Account Berkshire District;2022-12-12;Plastic proactive
7;38369;system;Account;Representative De-engineered;2022-12-13;state Health transparent
8;95292;Cliff matrix;Account;eyeballs;2022-12-13;Unbranded fault-tolerant HDD
9;98912;IB Shirt;Oklahoma Nakfa Cotton;pixel;2022-12-12;visionary Borders e-commerce
10;9762;Sleek Squares;Borders;generate;2022-12-13;Vision-oriented Car
