so_item_transaction_details_id;sales_order_no;sale_type;item_id;item_no;item_name;item_uom;item_qty;wheather_serialized;serial_no;wheather_asset_tagged;asset_no;original_dos;branch_id;location_id;location_name;status;transaction_date;transaction_no;created_by_id;created_by_name;created_date;updated_by_id;updated_date;so_item_transaction_details_uuid;updated_by_name;is_dropship;po_no;item_transaction_status
1;extensible SMS;COM;14804;magenta cyan Checking;Dollar;synthesize Frozen Account;7624;Computer interfaces;maroon District;invoice;Denmark copying;2023-07-14;82478;64518;Avon quantify;Directives contextually-based;2023-07-13;Assurance Square;92311;Checking;2023-07-13;34943;2023-07-14;ddde61c6-0420-44bf-bd13-c06f8c6add52;Cheese Metal optical;killer;Cheese optimize SMS;Palladium
2;Liberia (Vatican tan;Lake protocol;87467;Granite Gloves;Technician system-worthy deposit;alarm;37782;index;Assurance Lead Liaison;Handmade District;Triple-buffered;2023-07-13;98291;44335;FTP;Persistent Tunisian;2023-07-13;Technician;46029;Account;2023-07-13;55492;2023-07-13;56b4b4d9-e6c9-4070-a43e-45a15af79077;Mouse;Island;neural Street;Bedfordshire
3;parse relationships navigate;online e-markets;67671;Soap;Concrete;Officer;91896;to transmitter Loan;deposit override moderator;California Sleek;Wall;2023-07-13;33479;44886;optical Small;Locks;2023-07-13;mission-critical Locks;94506;Director multi-byte;2023-07-13;77727;2023-07-13;d89b8a0a-88c2-446b-8011-3939add64985;Devolved Account AI;enable;Berkshire structure;International Bacon
4;Face Technician;intangible attitude-oriented;69414;Account;Concrete radical;Lead Internal;15680;leverage;open-source;HTTP mobile Parkways;quantifying infrastructures Pants;2023-07-13;12169;96390;indexing Soft Leone;Cheese Creative;2023-07-14;Compatible RSS;7703;Albania networks;2023-07-14;73856;2023-07-14;53393ab7-4935-4632-b5d6-953c5c0ce608;navigate Synergistic;Creative;Electronics Cotton Awesome;strategic Practical
5;Car bypass;Producer Concrete Concrete;17992;Slovakia hybrid Guarani;fuchsia quantifying drive;5th innovative;84883;Savings;salmon Optimization Tuna;Investor;Awesome payment enable;2023-07-13;56975;48122;Branding;Generic invoice;2023-07-14;viral online Fundamental;54508;orange Computer;2023-07-13;38022;2023-07-14;7017fd92-f691-4bbf-8548-24317b49b256;Jersey magenta;Steel Plastic mindshare;Home;Dinar
6;silver Incredible strategize;Account application Grocery;29464;multi-byte Franc payment;navigating Enhanced azure;Kentucky;55424;mindshare;Solomon Ngultrum Plains;Field Baby;indigo Brand exploit;2023-07-13;82378;33898;program Kids contextually-based;cross-platform;2023-07-14;platforms sensor;82433;Pula Plastic transmit;2023-07-13;57036;2023-07-14;a977c3c5-8222-4d79-96f3-ad99b8336332;array;Louisiana;microchip Market Ball;overriding grid-enabled
7;embrace;Cloned Supervisor next;59494;forecast redundant;Quality-focused Cedi;Practical compressing up;46063;leading-edge;calculate;deposit foreground Borders;generating;2023-07-13;38101;5085;Program Senior;Frozen Executive Alaska;2023-07-14;Oregon Platinum;59517;index;2023-07-14;46524;2023-07-13;221b0893-6251-4a93-9c3e-b9430c274fab;Arkansas Moldovan;Optimization sky sensor;set strategize;fuchsia Visionary
8;e-commerce d'Ivoire;Architect;93213;Delaware;Handmade plum deposit;Saint iterate;97076;Metical neural;Georgia coherent;hack Pants;compressing virtual Bedfordshire;2023-07-14;1656;78282;matrix Versatile index;Metal Tools;2023-07-13;Dinar;98026;mint Fresh Missouri;2023-07-14;54871;2023-07-13;ec24cb39-f3da-4fd4-b09f-23ce9c275b52;Crossroad Prairie;Mouse;Village Maine compelling;Quetzal payment
9;line program;indexing invoice Interactions;8863;violet payment calculating;Texas;Hawaii Awesome bypass;54793;Utah Cross-platform;pixel Market;JSON;Kina Executive;2023-07-13;46386;64426;upward-trending black;Metal Chips;2023-07-13;enable;80481;Salad;2023-07-14;62477;2023-07-13;ba6dcd7b-c4c3-4809-99e5-c8b84530cf60;Rubber;Tasty;payment hard;Soft Avon Future-proofed
10;withdrawal;B2B;39891;Managed SSL innovate;system Data Ghana;visualize;68866;Forest;Clothing National;bus Zealand;e-business Fish fault-tolerant;2023-07-13;20677;63414;HDD;programming;2023-07-13;mobile;56761;orchid Ergonomic mobile;2023-07-14;86202;2023-07-13;dc50584c-7173-4a2a-a50b-86c0fb53bfca;neural Avon Guadeloupe;RAM interface;Rial Florida;support convergence Boliviano
