id;p_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;66850;Corporate copy;hacking Avon;grey Shore Fresh;2023-04-10;Chief Administrator task-force
2;38142;Small;Dollar circuit;South payment;2023-04-11;Concrete Shoes Quality
3;15375;sticky functionalities Australia;Norway Point ADP;GB;2023-04-10;Digitized
4;30729;frictionless Savings;Cambridgeshire Legacy;Developer JSON;2023-04-11;COM framework
5;53744;archive Malaysia;Frozen navigate;enable;2023-04-11;programming TCP
6;21322;Shirt Cuba invoice;Account Sports next-generation;Multi-channelled District Optimization;2023-04-11;Frozen Shoes
7;28365;enhance Uruguay payment;Cambridgeshire Jewelery;Movies Avon Division;2023-04-10;AI invoice Plastic
8;18183;Trafficway Chicken mint;Cheese intranet;Program infrastructures;2023-04-10;navigating payment Borders
9;81513;Fresh optimizing;Kids Fresh International;National quantifying Oman;2023-04-11;optimizing
10;75945;Games Representative;Creative Research Palladium;Argentina;2023-04-10;olive
