icd_master_id;icd_code;icd_code_desc;icd_code_type;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;icd_master_uuid
1;Buckinghamshire;Loan disintermediate California;rich;Shirt Security;97275;product redundant;2023-04-19;68678;Designer Distributed Orchestrator;2023-04-19;620f230c-0ce9-4fc5-95d3-bdb71287dd3a
2;Producer orchid Baby;Keyboard PNG front-end;Officer;systems Steel;33471;Roads;2023-04-18;61944;Somali Soft Architect;2023-04-18;ec940131-fa19-460e-937f-5e1d83f394b5
3;withdrawal Beauty;Mouse Hat;auxiliary;navigating Games function;40049;dot-com SDD;2023-04-18;79187;override;2023-04-18;a189536f-0405-484c-afd9-077c7c9fe4ed
4;Gloves Mouse Future;transmitting AI South;Bypass rich Pataca;XML;45288;enhance;2023-04-19;75308;brand;2023-04-19;9c1a07a3-dee9-49cb-9c17-69dc645d4aa6
5;Fish;Facilitator Frozen;Street seamless magenta;visionary generating transform;6720;Stand-alone;2023-04-18;85712;Iowa;2023-04-18;04e669b9-a618-4810-83f2-d65f07cc6768
6;portals;Lebanese;index;Borders;23432;invoice Proactive synergistic;2023-04-19;76228;Analyst;2023-04-18;4547f8a8-686e-464f-993d-aeb8ed49f1f9
7;Village;internet cross-platform;Account blue;Optimized connect;95248;Account;2023-04-19;27688;Reunion;2023-04-19;63729cc7-91d0-4637-958c-a32626344c17
8;Clothing;Engineer Synchronised Granite;value-added;matrix;27601;24/7;2023-04-18;89809;Account;2023-04-18;90969b18-36a2-45e8-aca0-306d5297a5f7
9;Granite schemas copying;synthesizing;PNG Assurance;AI Junctions;63819;Future up Namibia;2023-04-18;42606;Solutions;2023-04-18;6b1969d6-a78a-43e5-bfe7-8e473b2d5b0e
10;Applications;Dollar Web;Administrator;index Configuration Cambridgeshire;13645;e-enable;2023-04-18;59903;Intelligent systems;2023-04-18;ba16a712-8be9-4ee0-970a-b4251a1a6df6
