item_group_id;item_group_name;status;created_by_id;created_date;created_by_name;updated_by_name;updated_date;updated_by_id;item_group_uuid
1;haptic;Salad;18908;2023-04-10;Interface;e-commerce calculate;2023-04-10;12794;09dd1486-4873-4cff-bbc5-91c0eee8d9ce
2;transform Outdoors Enterprise-wide;Minnesota Baby;57089;2023-04-11;generating Administrator;Cotton;2023-04-10;12900;c0d8e757-8a4d-4f90-82f5-6c0414f3fc5c
3;red Pound;Director;90851;2023-04-11;Korean;Tenge Cross-group face;2023-04-10;75279;70d92fb9-d459-48ed-b6a6-6edebfdf54e6
4;Tasty invoice bottom-line;gold Adaptive;94321;2023-04-10;Buckinghamshire pink maroon;River;2023-04-11;43978;e0c9fd55-7e07-4760-a8a4-376ab7051fd9
5;Account Garden;circuit;99127;2023-04-11;Refined;orchid maroon multi-byte;2023-04-11;65337;a444028a-7d1f-42d8-8cb7-d5235f7a5c3c
6;Roads bandwidth;payment functionalities SAS;56196;2023-04-10;open-source Afghani;cross-platform Games Sleek;2023-04-11;58746;5a57d8c2-e9c9-459a-a631-86901b606fb2
7;Massachusetts Sleek;online vortals bypassing;68825;2023-04-11;Refined;invoice;2023-04-10;51915;b027824a-c9ff-4669-87fb-52ddeec28509
8;generating channels;Loan Factors efficient;3242;2023-04-11;SAS;Borders payment;2023-04-10;66356;e44951bd-a4ae-438e-9b58-39387c337b10
9;ADP Credit Money;Maldives Account back-end;13612;2023-04-10;Croatia Gloves;scale Soft magenta;2023-04-10;58284;d4171764-8719-4b35-a7ac-14ca57cb7545
10;Future Montserrat;Hat;99637;2023-04-10;Marketing invoice;Awesome Virginia;2023-04-10;66062;d5d41ada-df0e-4e36-b65d-c82750749602
