wip_queue_owner_id;wip_status_id;wip_status_name;task_id;task_name;assigned_by_id;assigned_by_name;assigned_to_id;assigned_to_name;assigned_date;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;wip_queue_owner_uuid
1;lime Group solutions;hacking Loan;22807;Steel navigating;32288;Kingdom Soft;91185;initiatives ROI yellow;2023-05-09;Generic Buckinghamshire programming;56659;synthesizing generate projection;2023-05-10;5257;schemas Lead benchmark;2023-05-10;2bd83de2-9733-4f86-a11f-21836f7d7709
2;blue Movies Solutions;Beauty program gold;90869;lime York grey;33801;Assurance Rubber synergize;73985;Rupee;2023-05-09;Bedfordshire infomediaries Austria;82732;secondary e-tailers Coordinator;2023-05-10;31414;Refined;2023-05-10;2ea25c27-6ff8-49b1-81b4-b95e36da5613
3;Concrete Bike;bandwidth;84087;Ohio SCSI;37726;Intelligent Practical;20797;solutions program District;2023-05-09;override online;96535;Unbranded Implementation;2023-05-09;78610;Riyal;2023-05-09;6614c559-96bd-44de-9651-9689de6debc4
4;Guilder context-sensitive;Chair interface;72370;deposit;83066;frictionless;7990;Garden Avenue portals;2023-05-10;microchip Plastic Consultant;77010;Refined;2023-05-09;44071;Investor;2023-05-10;5b647e45-43ab-4d7a-9c3f-d849d0a22bde
5;aggregate;dot-com navigate protocol;36062;deposit;65339;Virginia Facilitator;92019;Account up;2023-05-09;input Delaware;55542;up;2023-05-10;28820;Rubber;2023-05-10;f24fe280-53fd-4ed2-a253-d8183a98afc6
6;web;Missouri;26546;ivory payment;3209;programming deposit vortals;53510;efficient incentivize;2023-05-10;turn-key Sleek Village;91560;Czech;2023-05-09;17411;challenge;2023-05-09;3b882d6a-7b42-4e13-9e25-6cd51fe19afb
7;Cotton withdrawal HDD;Fish firewall Loan;84860;program;236;quantifying Wooden;77967;e-enable Executive Handmade;2023-05-09;Guadeloupe cross-platform;6517;blue Ethiopia Concrete;2023-05-09;47162;Extension;2023-05-09;49a829f8-0af2-4e5e-9ec3-b07e8e3266a6
8;Intelligent Arkansas turquoise;Fresh Data;73485;Account program;88730;scale Nicaragua;99060;Account;2023-05-10;Metal Sleek Rubber;3467;China back interface;2023-05-10;43703;Armenia white Tuna;2023-05-10;b77f45ed-ae9b-4351-ae6b-53ace0b3d2ea
9;Pike;bypassing Investment Team-oriented;14566;intuitive Architect;46897;primary;64889;Soft;2023-05-10;Frozen;80241;Iowa Fish Refined;2023-05-09;93085;AGP;2023-05-10;f5f892b6-56ba-4ff1-87cb-802f25f41df1
10;Account non-volatile bleeding-edge;Developer;97373;USB interactive Industrial;62133;Bulgarian Louisiana RAM;59206;Cotton Shoes;2023-05-09;copying circuit parse;69864;Bridge;2023-05-09;4259;firmware Global Frozen;2023-05-10;a9ec285f-20eb-4c81-9f21-0225017f4314
