stock_transfer_id;source_loaction_id;source_loaction_name;transfer_date;destination_location_id;destination_location_name;item_id;item_name;item_uom;item_qty;item_no;wheather_serialized;transfer_status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;stock_transfer_uuid;transfer_no;serial_no;received_date;received_status;status;branch_id;branch_name
1;96469;Bedfordshire;2023-04-11;67807;New;22350;Direct;Soft;17444;models incubate Tenge;Metal Cotton SMTP;Rwanda;5501;Director;2023-04-11;59139;deposit;2023-04-10;b9b1139b-82b5-47f8-a1fc-0a18041e85e5;global;deposit;2023-04-10;Rupee Chips Salad;disintermediate Paradigm portals;63311;web-readiness
2;59263;Metal Cotton Buckinghamshire;2023-04-11;56306;teal;7280;neural;Beauty Metal Regional;80511;copying;red invoice holistic;alliance;86844;Buckinghamshire;2023-04-11;15920;sexy;2023-04-10;a16e3af2-f470-4cb0-8d7e-46066bf6f875;Analyst 24/7;blockchains;2023-04-10;Rustic;Markets program project;92422;Gorgeous Senior
3;5284;Walk Product Haiti;2023-04-10;61292;e-tailers one-to-one parse;57549;Bedfordshire;XSS Idaho Reactive;46307;intranet;systematic;Dynamic salmon;26451;deliver metrics;2023-04-10;47486;Account;2023-04-10;3e54ad88-d443-4ae4-8e34-8fafc321de33;Alaska deposit Fantastic;Street wireless;2023-04-11;Drive Maryland Metal;payment Cambridgeshire;87889;Tunnel
4;58008;portals Intelligent;2023-04-11;49932;implementation Bedfordshire Pa'anga;99357;benchmark XML orchid;Industrial Russian Investment;91616;back back-end;bypassing;protocol programming;85918;gold;2023-04-11;97062;technologies;2023-04-10;2ff8e790-d7de-44ab-9057-5040d9fd73be;Montenegro Response;Haiti quantify Pants;2023-04-11;invoice Serbian Card;holistic;17892;Generic
5;90086;Coordinator generation SCSI;2023-04-10;80441;Up-sized vertical;79043;intermediate AI;input;90155;Berkshire Colorado;Card;reciprocal indigo Borders;36445;bandwidth;2023-04-11;42567;Computer Martinique Home;2023-04-10;03fa830e-b91e-4900-99eb-7e4b0c640677;Buckinghamshire;Devolved Massachusetts;2023-04-10;fuchsia;technologies primary maroon;49825;bypass Soft
6;90696;even-keeled SMS sensor;2023-04-10;90172;generate New;73484;Producer;Tasty Down-sized Future;26744;multi-byte SSL quantify;1080p payment initiative;Islands Optional interface;18121;deposit Fantastic killer;2023-04-11;61713;e-markets circuit reboot;2023-04-10;488db0d4-3274-4727-bb92-317274c4b791;matrix quantify Loan;transmitter Officer;2023-04-11;Director;Concrete Dalasi;43016;maximized portal
7;19752;Pizza Bedfordshire;2023-04-10;59096;Rustic;36089;navigating Re-engineered Avon;generate card;19743;digital invoice;Interface Dinar redundant;AGP Checking;99610;driver;2023-04-10;11238;Barbados user Intuitive;2023-04-11;c7f9078d-70c4-44bf-a12a-fd45666136cc;program Strategist Granite;Orchestrator Markets Reduced;2023-04-11;1080p Awesome Tasty;productivity Fresh;10201;programming transform Awesome
8;95501;Health supply-chains Junctions;2023-04-11;74133;Cambridgeshire IB;46695;Franc cultivate deliverables;redundant Dakota;77336;driver;rich;monitor;93282;feed Orchestrator;2023-04-11;69472;Tala;2023-04-11;1664ef07-acb6-473b-8cce-803eb3d73d6c;Soft;contingency backing;2023-04-11;Movies;Rustic SQL;86891;Decentralized Cotton e-markets
9;59910;Up-sized Direct Innovative;2023-04-11;19267;optimizing frame impactful;1376;transition;Circle compelling Shirt;12218;Car Program;Creative ROI networks;Mission software Som;17080;Security;2023-04-10;54244;solution-oriented Rial XML;2023-04-11;2c9ac5d0-f238-49c1-853b-e929305859e4;program Creative Bedfordshire;non-volatile Bedfordshire;2023-04-11;transmit e-services Monitored;Cotton Ameliorated;97779;Optimized Grocery
10;29134;encryption Fresh redundant;2023-04-11;26853;Keyboard Generic EXE;39219;Bedfordshire;red tan;76782;Rapid;Washington user Metal;website feed;53664;Ville out-of-the-box neural;2023-04-11;40762;Account Montana;2023-04-11;8c949801-e798-4d61-950b-825c0e1efcb2;Auto engage;Director River Unbranded;2023-04-11;invoice THX;customized Gibraltar;7746;application
