delivery_item_id;delivery_ticket_id;delivery_ticket_no;so_id;so_no;item_id;item_no;item_name;item_description;hcpcs_code;item_quantity;item_unit;whether_item_serialized;item_serial;item_batch_lot_no;item_mfg_date;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;delivery_items_uuid;charged_amount;allowed_amount;item_manufacturer_name;is_dropship;po_number;so_sale_type
1;28312;TCP District;39094;green Metal Cayman;2431;Generic Wisconsin;Dinar Buckinghamshire;Dinar Baby firewall;deposit Organized;66275;Haven;Developer;Infrastructure bypassing PNG;Innovative Fresh Checking;2023-04-26;Table Account;92341;Metal Swiss connecting;2023-04-27;26779;deliverables;2023-04-26;87e44b01-b6d3-4f93-8c0f-3395c7ff8c9f;78856;85934;Rubber innovative;application invoice Costa;back;magenta
2;24805;Directives Kong;47744;Azerbaijan Keyboard;52619;generating collaboration;olive Solutions;Licensed Pants;fuchsia e-tailers;98614;Mississippi Dynamic;lavender;indexing invoice;Orchestrator;2023-04-27;didactic;92094;Minnesota Plastic discrete;2023-04-27;551;black Indiana Group;2023-04-26;8904fb4e-bdd2-4fbd-95b5-f1272cd75f4c;69339;3128;magnetic action-items;Avon;granular;e-services
3;31225;sensor Pizza;14897;Kwacha;54272;Manager;eyeballs Refined;action-items Somalia CSS;Hat Tactics;92626;Markets;Administrator;Account withdrawal indexing;back-end;2023-04-27;firewall Belgium;53763;Cheese Shoes;2023-04-27;4660;New;2023-04-27;8eb11d72-13b2-415d-94e8-fb042578ba3c;92149;30853;User-friendly Pizza AGP;Buckinghamshire orchestration;Up-sized;Facilitator
4;74306;Lakes solution;91982;SMS mobile;68898;Identity neural models;compressing;Algerian value-added;system Strategist;46316;Technician programming calculating;Fantastic Tasty;Accountability success Cape;optical matrix payment;2023-04-27;access RAM;14124;1080p Montana;2023-04-27;51941;Paradigm quantifying;2023-04-27;4d378172-a66a-412d-83e4-b78704475858;18564;72716;Car Games;payment channels Ecuador;Hat;multi-byte paradigm Monetary
5;13626;up interactive;62299;Small;70700;Account Pizza;Soft Jewelery Berkshire;Plastic;quantify;7053;Applications;Greens Sweden AI;Internal connecting Plastic;Intranet contextually-based;2023-04-27;teal;12417;Tuna Mississippi withdrawal;2023-04-26;82009;world-class circuit partnerships;2023-04-27;f6d91228-3030-48f9-98b1-987face0e18c;20638;34409;Account;IB;Argentine users;client-driven Direct
6;21054;HTTP UIC-Franc Salad;93858;Refined;71483;Montenegro Dynamic;Cuban e-markets Down-sized;Future-proofed Nevada;platforms open-source;47495;SDD port;Chips Cambridgeshire calculating;Dynamic Practical solutions;copy;2023-04-26;red Sausages Gorgeous;59148;Factors Frozen payment;2023-04-26;6939;Gorgeous Loan Rustic;2023-04-27;ad3cd5d4-7d88-4cef-bb40-35d8a504b4a7;80440;52433;SCSI;black Groves;Shoes Iowa;open-source compelling improvement
7;93328;CSS Multi-channelled;13760;parse bluetooth Towels;68765;Buckinghamshire Books Fresh;Towels HTTP Ukraine;Incredible Guam;Field Card National;97308;Hryvnia Ohio;Hills Chair;Hat content;Computer;2023-04-27;Vision-oriented Health Metal;15838;Shoes Philippine;2023-04-26;2746;Kip;2023-04-27;6d3d2979-aa72-455f-928c-72744f218bcf;36415;19757;Table;open granular;high-level;payment
8;89329;Granite violet multimedia;21189;Central invoice IB;42974;bypassing cross-platform;microchip real-time;Frozen transmitting;Rubber AGP GB;96153;compress;vortals Plastic;Bedfordshire cross-platform;Drive;2023-04-27;invoice Small;52225;workforce Avon Direct;2023-04-27;15903;Buckinghamshire Niger;2023-04-26;6c01cffc-f20d-4409-8e16-a6b54311eefe;75136;53175;Rustic;Summit Plastic;monitor;Practical
9;20172;National Licensed;32218;hack seamless;52729;Technician;Outdoors Toys;frictionless;Concrete payment collaboration;20533;Nauru Directives;coherent Configuration;alarm Berkshire;Triple-buffered XML Programmable;2023-04-27;Chair Liaison;35903;Sudan Bahamas application;2023-04-27;7791;Implementation;2023-04-27;d2fa5cb9-3179-4538-a15f-19932e0f3329;16352;5730;viral Card Rubber;EXE optimize neural;repurpose;primary Avon Illinois
10;95388;Pines;84835;deposit Optimization Chicken;16428;Cambridgeshire;needs-based;flexibility Pataca;Internal paradigms quantify;404;New;system invoice value-added;SCSI array Markets;impactful SSL Usability;2023-04-26;SMS SAS Health;54023;Union Grocery AGP;2023-04-27;49769;Right-sized Account;2023-04-27;455266a7-fc36-4663-af68-24ee914a4597;72614;65307;Tasty primary client-driven;encoding indexing pixel;grey;Soft open-source Throughway
