vendor_id;vendor_name;status;created_by_id;created_date;updated_date;created_by_name;updated_by_name;updated_by_id;vendor_description;vendor_no;vendor_master_uuid;vendor_account_no;default_po_type;default_shop_type;address_line_1;address_line_2;city;state;zip;email;fax;efax;contact_person_name;contact_no_1;contact_no_2
1;Idaho cross-platform;initiatives Engineer;39688;2023-01-16;2023-01-15;Cambridgeshire;Generic;23215;Orchard solution systems;Loan;d1aca7e9-3cfb-435e-b191-46b86aad686e;Account Gardens;Gloves card expedite;Central Handmade ADP;local;Tactics;Nelsonborough;AI Unbranded;architecture motivating backing;Durward.Anderson94@hotmail.com;Licensed;array Home;Liaison disintermediate;reciprocal Profit-focused Books;Branding Accountability
2;quantify;stable Cross-group;98167;2023-01-16;2023-01-15;Borders Assistant Specialist;customized sensor models;29738;sensor efficient payment;Computers Car;35758c20-405a-40db-8fe0-0b365321e338;up;Focused;Mongolia clear-thinking;capability Music primary;auxiliary;Elkhart;network;Kids Officer turquoise;Javier41@yahoo.com;Sleek Gloves;global dedicated;Fantastic;Intelligent mobile;bandwidth Centers human-resource
3;Ohio mindshare France;hardware maximize;39065;2023-01-15;2023-01-15;XSS Legacy;Borders invoice;91095;Home modular redundant;monitor harness indigo;b4427714-582c-431b-a095-cd47516bf7fe;Borders Paradigm;Customer;Sleek Networked;firewall Cambridgeshire;Pants toolset;Sawaynfort;impactful deliver;Buckinghamshire;Alan_Kuhic35@hotmail.com;emulation Burgs;Principal;throughput schemas matrix;USB copy;open-source
4;Salad HDD;Facilitator transform monetize;56153;2023-01-16;2023-01-16;calculating Sleek;multi-tasking Global Avon;58073;Internal payment calculating;Avon virtual;7bbad41b-872e-4c65-aee6-8619f543494a;Arizona front-end Avon;West;quantifying National Utah;Games;background Product;Rialto;Handmade Metrics Profit-focused;Tools parsing Tennessee;Noe_Fisher25@yahoo.com;invoice Multi-lateral;repurpose synthesize Tools;Manat;overriding compressing Architect;Iowa Liaison Algeria
5;Japan deposit India;Producer;9843;2023-01-15;2023-01-15;purple withdrawal;circuit;27941;Borders extensible Ferry;iterate Rhode users;a6c841af-c942-4380-8171-2837f858f05e;Home;demand-driven Market primary;eyeballs Assistant back;engineer Lira;Planner transmitting;West Eldon;up Cambridgeshire;yellow Hawaii red;Hanna.Bednar4@gmail.com;redundant;sticky lime array;Technician Producer SQL;SMS Technician;Samoa bypassing
6;incentivize Meadow;Club;77220;2023-01-16;2023-01-16;Generic array 1080p;Mandatory;19612;JBOD multi-byte;Agent copy;b30fef76-ef8c-4020-aa53-5cba5a51d570;Technician Account;Human facilitate;virtual Engineer;invoice Keyboard;Gloves;Lehi;SCSI architectures Kansas;grow Brook Dynamic;Nels97@gmail.com;Card;cyan;XML systematic Towels;blue Granite framework;projection Human
7;envisioneer Borders Frozen;analyzing;58206;2023-01-16;2023-01-16;Configuration Tactics Sleek;auxiliary Licensed;11802;emulation;Towels;39e2fcc0-037e-4c5b-ae38-8deedef15565;Light;Bedfordshire contextually-based;Passage Division;Investment Baby Kyat;Loan invoice;Aufderharfurt;Texas;partnerships productize;Laurence_Grady86@hotmail.com;Regional Belgium;Adaptive Operative transitional;optical;Future generate Technician;Cambridgeshire Buckinghamshire invoice
8;Shoals paradigms parsing;Global;11813;2023-01-16;2023-01-15;e-commerce;compressing;91323;Small Central Account;generating visionary white;50f8cc5b-0641-4a13-b39e-868d25aa215b;calculating;Franc vortals cutting-edge;Product;Lead protocol Investment;purple Lilangeni;Port Arnoldoville;transparent Brand;Account;Alia.Okuneva@yahoo.com;Pines mission-critical Music;Rubber;Assurance Account;Handmade Burgs;Bedfordshire Glen Ergonomic
9;transition Beauty Bike;Dong Intranet;1900;2023-01-16;2023-01-16;green Berkshire monitoring;embrace background User-friendly;70412;services Handmade Forest;Specialist Identity;339d25e8-b6d6-4163-a75b-3db9feaf8956;Technician Senior primary;Upgradable;Soap Steel;compressing;frictionless global;South Aracely;Kids;deposit Rustic Incredible;Jaquelin63@yahoo.com;Table monitor;auxiliary Armenian Home;Pants Response Overpass;Steel enable quantifying;green Handmade calculating
10;paradigms Games scalable;Principal mobile;34029;2023-01-15;2023-01-15;architect Chicken matrix;Response Games magenta;58273;Guinea orchid Practical;New invoice Sausages;6268ef54-525d-418e-bb7d-2b4ed91bd1f0;Gorgeous;unleash;neural extensible;hack;lime Fresh Frozen;Port Marcos;Metrics;productivity;Vena_Ledner75@gmail.com;Checking Steel;challenge;Handmade Grocery;help-desk Mouse;Infrastructure Stand-alone
