id;paent_dctor_map_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;50437;Unbranded;Chips indigo Parks;brand deliver Concrete;2023-01-23;red
2;34707;Colorado compressing;Infrastructure;architectures;2023-01-23;Tuna Principal
3;32201;quantify;withdrawal;Handcrafted viral transmitter;2023-01-22;Loan
4;65202;Steel Realigned;Mouse Iraq payment;access;2023-01-23;Grass-roots action-items
5;20821;payment;Baby Ergonomic content-based;drive withdrawal;2023-01-22;plug-and-play parse Computer
6;96584;models Robust;Computers Switchable;maximized North archive;2023-01-23;Towels
7;88659;Bedfordshire Research;seamless ubiquitous Marketing;solutions Account Internal;2023-01-23;Hat
8;1753;blue Account Bacon;turquoise program sticky;Austria wireless;2023-01-23;hack Handcrafted withdrawal
9;49734;program;wireless Handmade Bedfordshire;Borders;2023-01-22;Jewelery array
10;72873;HDD eyeballs;payment Account;Persistent;2023-01-22;Islands Bacon Bedfordshire
