deposit_id;deposit_no;deposit_reference;payor_name;deposit_date;deposit_notes;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;deposit_master_details_uuid;claim_cob_835_master_id;deposit_status;deposit_amount
1;Lead;Engineer Salad encoding;Rubber;2022-12-01;Specialist;harness;89532;pixel;2022-11-30;73981;Forward Azerbaijan quantifying;2022-11-30;7c304e2b-7c69-4659-bd03-235a38b3f2f8;12102;Card invoice;21180
2;exploit Buckinghamshire;primary;National Salad mobile;2022-12-01;streamline navigate;Home;1594;Consultant global;2022-11-30;84676;Cambridgeshire navigate;2022-11-30;bf145054-b35d-4557-9847-35472d7bc2fc;95896;Cheese;9404
3;Brand Indiana tolerance;Idaho Steel Concrete;architecture;2022-11-30;Implementation Towels;Fantastic;51380;Bahamian Borders;2022-11-30;86374;copying Account;2022-12-01;df93d659-cfb9-4655-9a84-4043afe6d074;60010;high-level Outdoors;23414
4;fuchsia Saint;Engineer Solutions;synthesize;2022-11-30;Metrics Missouri superstructure;human-resource invoice drive;13467;stable deposit Ruble;2022-11-30;71119;redundant optimal Berkshire;2022-12-01;9d35ed9c-1ea4-47d0-97b5-aaac1fb7a24e;60952;approach;95949
5;Future Account;withdrawal Innovative;collaborative;2022-11-30;firewall Cambridgeshire;Chair service-desk Polarised;88857;Lebanon;2022-12-01;69181;Tuna Granite Universal;2022-11-30;10bf834d-20a5-401e-b4fa-04cd5ccff001;9208;neural;52287
6;Analyst;parsing Metal Account;wireless;2022-12-01;Myanmar Market;protocol;40351;Architect AI;2022-12-01;44432;communities leading;2022-11-30;ba21136f-fef6-49b3-a575-d42f73b7006d;31619;Concrete Granite Cotton;2884
7;Interactions;Product Dam Coordinator;markets;2022-12-01;New Tasty well-modulated;Sausages;45689;Harbors Plaza Chips;2022-11-30;38464;Division Small;2022-11-30;afe67198-59c1-4720-adf8-79ca79dc0014;44386;XSS;56578
8;Web Home;Luxembourg RSS;Baby secondary;2022-11-30;Chair Lead;sensor;37236;Buckinghamshire up;2022-12-01;47969;Lebanese;2022-11-30;2ef71542-ca40-4e86-b09f-812ee3f1e6f8;2311;District;31205
9;magenta overriding Shirt;Fish;GB;2022-12-01;Architect;Plains grey;33374;Executive feed Loan;2022-11-30;79670;one-to-one bus;2022-11-30;c7d895c8-9ed5-4234-b539-580729066f73;62318;Toys Kentucky;60709
10;purple;Corporate;Bedfordshire;2022-11-30;navigate synergies;Awesome network;7997;neural target;2022-12-01;54605;integrate;2022-11-30;4ad2c8c6-a494-4600-8d54-7de2f995d46f;56721;Handmade Account;47455
