id;mnufcturer_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;78135;Courts Cameroon;Chad;monetize;2023-04-10;solid
2;30741;Oklahoma;implementation;Web;2023-04-10;magnetic Practical
3;80722;Wooden Buckinghamshire Cambridgeshire;Marketing Unbranded;Principal Dominican productize;2023-04-11;back input Grocery
4;9195;IB Shoes;microchip Rustic Dam;Bike quantifying multi-byte;2023-04-11;web-readiness
5;63254;Dynamic deposit;Designer intranet Loan;Fundamental Pants Licensed;2023-04-10;Interactions Plastic
6;56533;Investor;Canyon;override project Toys;2023-04-11;Alaska Highway
7;19615;Senior;Proactive transmit content;back-end system-worthy Intelligent;2023-04-10;parallelism Investment cross-platform
8;26010;Computer overriding;Rubber;mesh;2023-04-11;Developer Granite
9;78168;Kuwaiti;Berkshire Account Functionality;tertiary;2023-04-10;payment RAM 1080p
10;62590;Swaziland Soft next-generation;Handmade Mexican;system JSON;2023-04-11;Brook
