claim_form_id;claim_form_name;status;created_by_id;created_date;updated_date;created_by_name;updated_by_name;updated_by_id;claim_form_master_uuid
1;Soap;Bedfordshire Handmade;3884;2023-04-02;2023-04-02;transmitting West lime;Ghana indexing;32244;c455ef43-8624-4c34-8640-e65d7dfc4451
2;collaboration;integrated;16402;2023-04-02;2023-04-03;scale Circles Quetzal;Card panel;49408;c4e88011-e8dc-4c68-8d7b-3fb7695a31a9
3;Nauru;firewall payment;1952;2023-04-02;2023-04-03;solutions Usability;Product Administrator;91091;d20b570c-4149-418d-94cb-2d12bc4e33c3
4;Wooden drive;Cambridgeshire Avon;38848;2023-04-03;2023-04-02;deposit compressing Tuna;back-end;69551;e52cfb72-d9af-4ee6-9483-1cb0aedb0e06
5;Berkshire;optical collaborative tan;92938;2023-04-02;2023-04-02;reboot reboot;International monetize;13132;eafa7f8c-2de9-47d0-a255-2d67b586fae4
6;workforce Colorado;override optical;79675;2023-04-03;2023-04-03;multi-byte;Direct Guatemala Groves;84342;88b771cc-6fe5-418d-bc34-457b6c28811a
7;transmit;Keyboard Washington;74975;2023-04-02;2023-04-02;SSL Caledonia;Loan;97030;d6c412b7-5c6d-40f4-ac81-01ae12fa9171
8;Global;Metal tangible;578;2023-04-02;2023-04-02;navigate emulation backing;index calculating compelling;36875;e3d4536e-ee5b-42ef-b281-fcccc5eb136d
9;Loan;Hat;7625;2023-04-02;2023-04-03;Oklahoma models;Jewelery;74025;f466cbdf-374e-410a-b20a-d4d2a1cb2a5b
10;Music;supply-chains;82086;2023-04-02;2023-04-02;Investment;Computers Camp;8907;20a4fe0b-de98-40e3-b509-b922c61b47f5
