id;itm_srial_nmber_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;29415;Hat;Account eco-centric;Handmade methodology;2023-04-10;Direct
2;22496;Dobra Investor Ball;engineer optical generate;Borders;2023-04-11;Representative invoice
3;14053;override relationships Portugal;Car Row system;Colon Greens infrastructure;2023-04-10;payment
4;38520;dot-com;withdrawal Grocery;Garden Music success;2023-04-11;synergy
5;67731;ADP;Global azure Cambodia;programming Fish;2023-04-10;Communications payment alarm
6;42163;Operations;Cotton;Assimilated Borders;2023-04-10;back
7;74673;mesh mobile;Product;Baby;2023-04-10;red Executive
8;7872;Keyboard whiteboard;Plastic;Account Handmade Reverse-engineered;2023-04-11;deposit Home Colombia
9;33785;navigating Delaware Soft;payment scalable Borders;XML;2023-04-10;Buckinghamshire Pizza Gorgeous
10;4228;multi-byte Enhanced;background Cambridgeshire;Pants;2023-04-10;connect core back
