note_reason_id;note_reason_name;created_by_id;created_date;status;updated_by_id;updated_date;created_by_name;updated_by_name;note_reason_master_uuid
1;Health Washington;9233;2023-04-02;Operative SMS;57473;2023-04-02;transition SSL Cambridgeshire;Tajikistan;a20237bf-d8c3-4081-87ab-091e7b778767
2;systemic withdrawal Armenia;22078;2023-04-02;web Executive orchestrate;32482;2023-04-02;Sports Berkshire;Mouse experiences;251844ca-7760-4020-819e-4dad385b049a
3;Suriname quantifying;71349;2023-04-02;Yemen tan SMTP;4886;2023-04-02;Soft;Principal Outdoors Awesome;7263cc8e-2c4e-4d04-a333-07e91d24067c
4;Pizza;39145;2023-04-02;Incredible Bacon;99235;2023-04-02;Norfolk systems;Ergonomic Orchestrator cohesive;a4c332bd-2873-4086-97c3-e01cdbbb3eec
5;gold Minnesota;4619;2023-04-03;Car;31747;2023-04-03;Mobility quantify intuitive;Borders;6fd45036-6ca8-40f4-9018-8a11f7588590
6;National Fresh Bedfordshire;34637;2023-04-03;payment Ball;2356;2023-04-03;Intelligent redundant Oregon;Tunisia;787cd6d8-bc8d-405c-8374-e4c785a6b4d0
7;Berkshire olive;9157;2023-04-03;Operations Bedfordshire;25744;2023-04-02;Optimization Cambridgeshire Progressive;efficient implement Unbranded;71d71faa-aa72-4639-a2ea-a28288bc5fb5
8;Multi-tiered;97626;2023-04-03;generate magnetic Technician;17324;2023-04-03;Wooden withdrawal EXE;mobile;361f60a9-a614-4dd7-ba03-2c7b5f4dc7de
9;Rial;57684;2023-04-02;Buckinghamshire Producer;62848;2023-04-02;Palladium Buckinghamshire;static engage;4b23e984-5537-4b25-95a2-bb811a5aba91
10;HDD Vermont virtual;28407;2023-04-03;solutions program Identity;30681;2023-04-02;matrix;Awesome;1648dd87-d09f-4519-8669-d38a602ae5d6
