po_item_received_id;po_id;po_number;status;location_id;location_no;item_id;item_no;item_uom;item_name;received_date;item_qty;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;lot_batch_no;mfg_date;purchase_order_items_received_uuid
1;72669;Representative Chips;Small hack reboot;65880;Ergonomic bluetooth;57764;Clothing;payment bypassing salmon;visionary;2023-04-11;34351;226;Gloves;2023-04-11;63855;Springs adapter Mouse;2023-04-11;invoice Via syndicate;2023-04-11;5bf1f587-a1f9-41fe-a817-1637ef5309b5
2;95465;Metal;Fully-configurable;35329;Berkshire networks experiences;8254;payment;Incredible vortals withdrawal;reboot withdrawal withdrawal;2023-04-10;67803;88796;bypass;2023-04-11;97773;Maryland Cotton;2023-04-10;Re-engineered generating mint;2023-04-11;79e9a50a-a1fa-4198-a93e-2952b3a8820c
3;6702;auxiliary;matrices backing;65274;Concrete;54773;executive;quantify;Tenge IB Refined;2023-04-10;5189;94162;synergistic repurpose Ruble;2023-04-11;5129;Cheese;2023-04-11;Car;2023-04-10;dc1e7d52-e695-4cba-bce0-63e22df6a3c2
4;63841;Kentucky teal;Fish index Wooden;14069;models;9009;Grocery cyan;Checking unleash;holistic Buckinghamshire impactful;2023-04-10;72955;91450;Assurance override;2023-04-11;91419;Refined;2023-04-10;services networks driver;2023-04-10;40ae1a62-7037-4545-be29-72853798e782
5;38373;Berkshire discrete Mouse;Valley back-end;24696;cross-platform state;2332;Card;Mississippi driver;hack Valley Cotton;2023-04-10;36293;44029;microchip;2023-04-11;84231;Vanuatu;2023-04-11;generate discrete;2023-04-11;11df79c3-86d3-49de-9a93-b7abedf49aa3
6;4645;transitional Borders Coordinator;Village;41548;Tasty Avon Health;57636;Focused SAS;Music Coves blue;De-engineered;2023-04-11;91346;53085;black;2023-04-11;21978;Shirt neutral deliverables;2023-04-10;Real Markets Practical;2023-04-10;3cd2f42b-cdbc-45e5-ae74-16f1be44f566
7;7962;Engineer;Mouse;84550;optimizing primary;19276;Fantastic Product Quality-focused;withdrawal IB;Account;2023-04-10;29450;43639;dot-com Checking;2023-04-10;45433;Berkshire Home bandwidth;2023-04-11;green Refined;2023-04-10;ce1aae67-b962-428d-a5f4-a454869e06b4
8;28853;Bedfordshire;line magenta;55866;quantifying;78706;Unbranded;visualize parse;Security plum;2023-04-11;27048;46176;deposit panel;2023-04-11;60219;silver;2023-04-10;olive;2023-04-10;9fe96265-8a9f-4b66-87c5-ad8bdd0f339f
9;15906;Yuan Antilles Handmade;Soft Coordinator;35883;New action-items;14117;Texas Car wireless;Avon;Polarised encryption intermediate;2023-04-11;29328;58491;Cambridgeshire transmit transition;2023-04-10;48284;Cambridgeshire Togo Frozen;2023-04-10;Auto Checking;2023-04-11;85afccff-db69-4cfb-9d61-210eaa888925
10;77863;vertical;gold Sports;35146;North technologies;66552;Samoa FTP;infrastructures;indexing Cotton;2023-04-10;26749;27814;fuchsia Rubber Chips;2023-04-11;77053;mint Web Account;2023-04-11;Configuration payment Cotton;2023-04-10;3205b2ad-11f9-4c70-a886-b111bce5e58c
