id;usps_adess_veifiation_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;88669;Keyboard;Assurance quantify Keyboard;Cloned Ports SCSI;2023-04-02;copy
2;68246;Hat;Director matrix;Dollar;2023-04-02;Zambia connect programming
3;94802;reinvent;Assistant;bypass haptic high-level;2023-04-02;Chips
4;70415;Human;Chief;Dollar Legacy reboot;2023-04-02;Account Outdoors
5;34121;Account Frozen Incredible;black;Account Moldovan;2023-04-02;Music
6;40733;programming;Metrics;quantify;2023-04-03;Officer enhance Port
7;38425;monitor transmitting back-end;Liaison Cambridgeshire;Borders overriding transmitting;2023-04-02;interactive magnetic secured
8;74852;Austria Idaho;transmit software;Guatemala parsing;2023-04-03;Refined programming
9;70502;end-to-end action-items Minnesota;Belize Plastic Cheese;Baby;2023-04-02;Pants
10;46066;Oregon interfaces Islands;THX Intelligent approach;THX systemic;2023-04-03;optical Beauty
