id;ptient_docmt_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;21177;Greenland Integration Isle;Associate;magnetic bottom-line blue;2023-01-23;Designer
2;1458;experiences Overpass;Down-sized Maine;Senior Ergonomic Investment;2023-01-22;Facilitator HDD
3;58032;Automotive deposit;multi-state;Regional IB Mexico;2023-01-22;implement
4;19776;XSS;red Metal mint;system-worthy withdrawal Loan;2023-01-22;Bedfordshire Refined withdrawal
5;40138;Metal Avon;Lead panel Administrator;drive Intuitive;2023-01-22;Sports Switchable
6;24915;Beauty;Versatile;tan;2023-01-23;Persistent Specialist revolutionary
7;33218;Agent;back-end;Cotton magnetic;2023-01-22;Plastic
8;34934;parse deposit Cambridgeshire;firewall architecture transmitting;Ball schemas Path;2023-01-23;Plastic Landing program
9;80043;input;redundant clicks-and-mortar;Personal Pound Fish;2023-01-22;Games deposit
10;63825;South;copying streamline;stable RAM face;2023-01-23;needs-based Garden
