id;insrnce_incator_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;41009;bandwidth Mobility;indigo Soft;whiteboard;2023-04-02;Chair e-business Jewelery
2;40276;architectures;Cotton connecting Usability;Franc Lek attitude;2023-04-02;wireless
3;80306;Markets Account;mobile;Jordan Inverse Wall;2023-04-02;Bacon
4;38752;mesh;invoice;Grocery Savings;2023-04-02;Representative
5;30568;Infrastructure;orchid architecture;invoice index Pizza;2023-04-03;bricks-and-clicks
6;88785;Dinar;Sahara interface Tasty;Home;2023-04-02;Developer JBOD Checking
7;70838;back-end payment;Gloves Assistant;generate Corporate Frozen;2023-04-02;payment Cambridgeshire Buckinghamshire
8;9514;Borders;Mount Prairie;program hard copying;2023-04-03;Virginia Miquelon
9;71107;HDD;Salad RAM;rich array;2023-04-03;attitude-oriented Clothing Toys
10;56367;Kentucky unleash Towels;District adapter;Peso navigate;2023-04-03;Chief Berkshire
