sals_ord_insrance_details;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;Engineer clicks-and-mortar;Rustic Research;vortals;2022-12-13;synergistic
2;Fresh multimedia sensor;Guinea-Bissau Human parallelism;Markets;2022-12-12;Investor
3;Michigan turquoise;circuit;deposit York;2022-12-12;green Mobility
4;interface;Creative array;Account;2022-12-12;redundant gold
5;Honduras mint;copy;challenge wireless;2022-12-13;Honduras Liaison Plain
6;panel program;Lithuania B2B Intelligent;olive;2022-12-12;Chair Small Lats
7;transitional Avon;invoice standardization;Rhode;2022-12-12;Corporate Buckinghamshire
8;firewall generating;holistic Mauritius Fresh;utilize;2022-12-12;View Cambridgeshire Small
9;Investor District GB;SAS;Dinar Central;2022-12-12;Dynamic Assurance connect
10;COM;Intelligent;Awesome;2022-12-13;Stand-alone Kingdom
