item_itemlocation_map_id;item_id;item_name;item_location_id;item_location_name;item_no;item_uom;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;item_itemlocation_map_uuid
1;26070;invoice Saudi;16596;green;Internal;calculating Baby AI;Islands;34481;Phased Investor Total;2023-03-08;7202;connect Manager;2023-03-08;eeea8dfc-1434-4370-bc31-e59938bf2a30
2;28099;maroon customized;51505;Cambridgeshire 1080p Path;Supervisor Crescent;Lake;Togo;79669;azure Crossing bypassing;2023-03-09;92543;Practical revolutionary;2023-03-09;7a78b00a-10e5-4d6d-86c4-a9a88c76823e
3;79779;Practical;18949;synthesize Accountability;bluetooth Coves;bluetooth Implementation;Senior;16581;Darussalam Mouse;2023-03-08;62891;Keyboard Ameliorated proactive;2023-03-08;00b3ed5a-03cc-49c3-9e08-3e8f56662ad2
4;33329;Versatile Hong;9935;Buckinghamshire invoice;open-source extend Focused;Metal;firewall;68920;programming;2023-03-09;40771;Gorgeous portals;2023-03-09;089fb087-0d3b-4eb5-b25c-9135b29ea9fa
5;96761;Florida monitoring;67599;Nebraska invoice;Account Consultant Auto;Small;Fantastic deposit Investment;83574;microchip;2023-03-09;8385;bus Gorgeous disintermediate;2023-03-09;1717ee47-7a9c-47f0-88ea-442a564d079f
6;66147;black;41192;Cotton Car Center;1080p;withdrawal;responsive;70091;Intelligent e-tailers;2023-03-08;51090;Oklahoma efficient;2023-03-09;a092aa70-ea7a-453f-b752-7ac76e80232f
7;12951;compress;59061;Corporate;content-based;collaborative Steel;Uzbekistan;99469;Representative Central Salvador;2023-03-08;25209;AI Kroon applications;2023-03-09;1936f4b7-e62a-4721-aa1f-ae8be000cc1e
8;10500;Table Tasty;14807;Sleek Secured withdrawal;Belgium schemas composite;Functionality;Licensed incentivize;53604;instruction;2023-03-09;68592;virtual Brand;2023-03-09;e46719b3-2cb3-428a-865b-380a77c5a5e1
9;51352;Maine;86726;Books supply-chains Legacy;magenta project;open;violet Sleek Fantastic;16437;Avon;2023-03-09;23103;Director;2023-03-08;2b811320-3673-42f0-b3e5-5fa335713224
10;76329;Horizontal Missouri;48974;Buckinghamshire Rapid;Programmable Incredible;monitor Fish;Fresh;59115;dedicated Sleek Towels;2023-03-08;67120;Metical AI Leone;2023-03-08;f9f9d8d5-2c41-4c2c-8577-787a2577ce7b
