id;clm_form_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;36877;Towels;Jewelery Intranet Pants;Baby;2023-04-03;Frozen
2;92172;Metal Turks;neural vertical convergence;Bedfordshire;2023-04-02;Licensed Digitized
3;85869;intuitive;open;Fantastic calculating Fresh;2023-04-02;Borders Market
4;38371;expedite deposit green;Awesome Grocery Azerbaijan;Savings;2023-04-03;Customer
5;15895;olive Supervisor;open-source Pennsylvania;neural Plastic;2023-04-02;solution Diverse
6;98816;Bedfordshire;Pula Frozen withdrawal;Algeria Fresh Licensed;2023-04-02;Dynamic motivating
7;84883;Camp driver;Frozen Computers payment;synergize application parsing;2023-04-02;compressing
8;15914;Strategist orchid International;array Table copying;Fantastic;2023-04-02;Pizza International B2B
9;74001;Customer Carolina States;Programmable;navigate;2023-04-02;Indiana card workforce
10;42061;approach Optimized;synergies;mission-critical Gloves;2023-04-02;1080p object-oriented Luxembourg
