po_id;po_number;po_date;item_location_id;item_location_name;sales_order_id;sales_order_no;vendor_id;vendor_name;billing_address_line_1;billing_address_line_2;billing_address_city;billing_address_state;billing_address_zip;billing_contact_no;billing_contact_name;billing_contact_email;delivery_address_line_1;delivery_address_line_2;delivery_address_city;delivery_address_state;delivery_address_zip;delivery_contact_no;delivery_contact_name;delivery_contact_email;priority;shipping_method;freight_charges;status;notes;created_by_id;created_by_name;created_date;updated_by_id;updated_date;purchase_order_uuid;po_status;vendor_delivery;updated_by_name;branch_id;branch_name;vendor_fax_no;vendor_email;vendor_fax_request_status;vendor_email_request_status;po_request_document_name;po_request_ack_received_status;po_850_edi_string;po_855_edi_string;po_request_send_datetime;po_ack_received_datetime
1;invoice;2023-03-16;63810;Directives reciprocal Soft;56048;Handcrafted payment parsing;2258;panel New;state next-generation Operations;Health Bike systems;Tools disintermediate collaborative;Cambridgeshire withdrawal;invoice;copying Granite Plastic;Dakota Berkshire Pennsylvania;Vision-oriented;transition Ford;Industrial;methodologies;Japan Awesome SAS;Markets;Configuration;indexing Ethiopian Legacy;redefine bricks-and-clicks;Generic Skyway;Account transmit ivory;75031;Toys;real-time Balboa enhance;92447;Cambridgeshire;2023-03-16;10079;2023-03-16;2759b272-42ac-46e2-b1d1-6fed5fc9a435;Account;false;paradigms Darussalam ivory;82546;Montana;Front-line invoice Delaware;robust Kwanza Group;Awesome application Wooden;Developer;executive Money;Plaza Rubber infrastructure;tan;Avon background transmitting;2023-03-16;2023-03-17
2;Account Lodge;2023-03-16;60933;Buckinghamshire;9044;lavender portal;72982;Groves Outdoors;multimedia Light Honduras;invoice Personal;Data North;withdrawal Liaison;feed input compressing;integrated;District eco-centric;metrics backing Handmade;Forward Manager;invoice partnerships;Account Enterprise-wide;ROI reintermediate;Function-based Shoes;tan conglomeration;pink Mali revolutionary;distributed Bedfordshire;synthesizing Handcrafted Investment;Account Books Unbranded;52848;District Account Usability;integrate;87663;Future Data;2023-03-17;22793;2023-03-17;431db4cb-e844-432a-9b39-36fef868011b;Grove green;false;installation leverage;86078;Spurs;Metal SAS;encryption Ball;set Pre-emptive mesh;International;withdrawal Dynamic;Via Representative;Island Rustic Human;Tools rich implement;2023-03-17;2023-03-17
3;Account;2023-03-17;36161;overriding Fantastic;50451;portal Plastic;51511;front-end;Berkshire client-driven integrate;Account payment;Producer;Legacy;Generic Borders Toys;quantifying Toys;SAS blue;navigating copy compress;cross-platform help-desk;Program;card PNG bypassing;Optimization;Re-engineered Operations Account;Assurance SCSI Account;Cambridgeshire PCI;Manager Shirt;Facilitator Yen;Garden Rubber Sausages;76009;aggregate;Plastic quantifying Investor;76248;Savings;2023-03-16;8569;2023-03-17;f685a52f-0676-4378-8426-830f1fb54401;overriding;true;incremental;20012;Lock Wisconsin dynamic;Dynamic Automotive;Synergistic Trail orchid;Electronics infrastructures;Handmade Toys Loti;structure;Station;Soft Berkshire;Rhode connecting intuitive;2023-03-17;2023-03-16
4;Integration indigo;2023-03-16;20217;Handmade Card;21451;Sleek;65902;orange Delaware;Berkshire;ability Keyboard Pennsylvania;Club Spur;virtual Personal;Avon quantify;Towels;payment Avon;viral;multi-byte;Costa streamline;Self-enabling paradigm invoice;Computer Borders;red bandwidth;Profit-focused;Netherlands Triple-buffered;Public-key Research;Applications Enhanced;Computer Belarus Uganda;89976;Gloves;Bacon capacitor Communications;81340;Mexico;2023-03-16;70727;2023-03-16;9b6fe0e4-814c-40c7-9b6c-57a1a84a6ca9;Corporate;false;hub orchestrate;85195;Bedfordshire Legacy parsing;Virgin Congolese Focused;Nebraska systematic programming;RSS Markets;Rustic Lead District;fresh-thinking Principal;Lakes transmitter Unbranded;portals Haven;online Designer;2023-03-16;2023-03-16
5;system;2023-03-17;47386;Gloves Synchronised;25485;Supervisor benchmark;82538;Supervisor deposit;Home synergistic Illinois;Plastic;Ball Bedfordshire;capacitor asynchronous;Program Ergonomic Fresh;generation;override payment microchip;deposit Configuration Account;Cyprus;payment Director experiences;deposit;Licensed SMTP;yellow;Vatu Beauty;Concrete;Steel Regional;Shilling bypass repurpose;Phased XSS;67075;Fall scale;Djibouti olive;72353;Route Producer Central;2023-03-16;89377;2023-03-16;dd1b30d5-1b7c-48c6-8f9b-a8c0a4ebdc7c;user-centric Bedfordshire Illinois;true;Investment;28538;leading-edge Concrete Mouse;Card;directional;Metal override deliverables;back-end one-to-one;primary Frozen;Open-source attitude-oriented;Intranet;Nevada;2023-03-17;2023-03-17
6;Garden;2023-03-17;20114;Investment;47058;Lanka Licensed;66868;Sports Implementation Applications;Account;haptic red asynchronous;AI;navigate;calculate Dynamic;Global stable red;input Sleek;Home;Innovative Cotton;utilisation primary Buckinghamshire;Research Fantastic;Versatile;Chair withdrawal Utah;navigating;open-source Cheese;back;compressing encoding Assurance;Applications;42122;synthesize Leu Fantastic;web-enabled Pass deposit;9332;infomediaries Island paradigm;2023-03-16;51543;2023-03-17;dc9a4144-66dd-4539-9162-5ced92767e46;strategy;false;Bike;52760;Timor-Leste;Berkshire;Somoni Avon;THX;context-sensitive Small markets;redundant customer;Ireland Franc;solution parsing Maldives;grey PCI Direct;2023-03-16;2023-03-16
7;Investment;2023-03-17;54440;Soft Unions FTP;26336;Credit;54192;silver synergistic;USB deposit Branding;Future program;Shoes Steel Orchestrator;Metrics Principal Mexico;Vermont program;blockchains Dynamic Functionality;Legacy;up Michigan pixel;connect navigating Home;Usability unleash high-level;Principe withdrawal 5th;olive harness;engineer hacking;Hawaii index 24/7;Georgia Eritrea;Optional;hierarchy Principal;invoice Handcrafted circuit;11801;Account Regional;Home;10769;silver;2023-03-17;77709;2023-03-16;1b72301d-57fc-48ab-8513-afa437b8a1f1;Plastic;false;Wooden USB Agent;80296;Automotive;Future;Mobility Cheese JSON;evolve;scale;Shirt;Games leading-edge Knoll;maroon Cambridgeshire Bacon;Brand online;2023-03-17;2023-03-16
8;Integrated;2023-03-16;86564;primary;23177;Toys Agent;64945;synthesize wireless;Peso;sky Kentucky;Niger Massachusetts;Bedfordshire Ball Dollar;metrics;Quality;Lodge neural-net;Metal Granite unleash;Handmade solid Kansas;Technician Organic ability;SQL generating;Direct Borders;Lebanon;Handcrafted black static;connecting Motorway Cambridgeshire;Brooks Factors Division;XSS haptic THX;Configuration Kina deploy;91484;Clothing 1080p 1080p;Gloves Pennsylvania;79580;Implemented;2023-03-16;65370;2023-03-17;ab61c1fe-696f-44ee-8b8d-ffda654a635c;Tools Functionality Via;false;plum Supervisor;2368;applications generate Peso;overriding;protocol;synergize Configuration Self-enabling;SCSI;adapter;Concrete SDD generation;bypassing Rustic;Latvia;2023-03-16;2023-03-17
9;high-level Bermuda Krone;2023-03-17;13936;open-source;88980;calculate;66936;Electronics;Minnesota;connecting Utah;panel Mouse Rustic;Officer payment;Generic;Towels Product Cotton;vortals Row payment;haptic;forecast transmitter Car;Thailand Salad;data-warehouse Frozen Baby;Berkshire azure bypass;Shoes Gorgeous Loan;Rubber Gardens;Mouse Agent;platforms XSS flexibility;generation;Streets bypass channels;85061;one-to-one Vista Tactics;and;18956;Devolved Salvador Computers;2023-03-17;65362;2023-03-16;c68e145b-d12c-4d5e-bd61-1661b9b4be77;white hardware solution;false;Lead reboot;85807;Buckinghamshire cross-media architectures;transmit Arizona monitor;Ouguiya port;middleware;Account;violet;virtual Central;Books override;extend Accounts;2023-03-16;2023-03-16
10;Dollar Frozen;2023-03-16;26511;maximize Awesome;68622;open-source;73321;Beauty;Market deposit Account;generation Licensed Cheese;back;Small;Home holistic;withdrawal;Squares Electronics Table;Connecticut payment;efficient calculate;Rupee virtual;calculating wireless;withdrawal index bypassing;and;violet Granite;Cambridgeshire networks Bhutanese;index Outdoors;synthesize Tactics;Incredible primary;55965;invoice transmit Metal;Corporate;88496;Investor;2023-03-16;90766;2023-03-17;9b491db5-513d-453b-988b-b6e5cc012760;Corner;true;Indonesia Ukraine Account;23294;Checking;Myanmar;redundant Fords tan;Intelligent Mountains;Berkshire Ruble Cross-platform;Centers THX;Investor vortals THX;Soap;program Shoes non-volatile;2023-03-16;2023-03-16
