document_reference_file_map_id;checklist_id;checklist_name;coverage_criteria_id;file_name;status;created_date;created_by_id;created_by_name;updated_date;updated_by_id;updated_by_name;document_reference_file_map_uuid;file_reference;document_reference_notes;so_id;item_group_id;item_group_name
1;95636;Hill Cambridgeshire;85586;French bluetooth multi-byte;Granite;2023-11-01;32096;calculating;2023-10-31;76665;Innovative;4ca1a798-e9dd-46d1-84eb-b5fdc4c8cac6;Djibouti;red;87688;77533;Account Card tan
2;39591;Concrete Cambridgeshire Computer;66844;evolve;Credit Steel Cambridgeshire;2023-11-01;86301;European Algeria Rubber;2023-11-01;11664;high-level Plastic strategize;37b1ac80-d6b4-4512-adcd-ce7cbfa8e73c;Practical;facilitate;85374;29667;Internal incentivize Account
3;9172;International Plaza;6232;Baby open-source;solutions;2023-11-01;32799;redundant;2023-11-01;64551;Oklahoma Shore efficient;696d7a15-45db-453d-b9ad-b6d642899b33;Checking;Saudi high-level;36716;88082;models Dollar
4;31722;Interactions Belarus;35879;hacking Tennessee;Branding;2023-10-31;8750;hack;2023-11-01;6793;calculate blockchains Tools;a4563d40-e59e-4408-b63d-f0cb4c51a6f8;bluetooth Bedfordshire;deposit;88542;16056;synergies Forges
5;42547;Money;7487;Automated capacitor throughput;Palladium;2023-10-31;42786;Automotive Niue;2023-10-31;32083;Tuna digital;ce362757-455d-4ac0-9f1d-cc9f159066a5;Bedfordshire;Account blue;60286;3733;Liaison Account
6;34004;Personal engage Devolved;86950;Personal Polarised;online Cotton Lock;2023-10-31;45195;Pizza Peso Port;2023-10-31;58483;Soap Account;28ae32d6-08d9-46b6-b4b4-0c5e280c2b31;Metal Fantastic;Accountability;34491;72983;orange
7;8050;generate;5572;Isle plum;Mountain Market Division;2023-10-31;90301;programming;2023-11-01;87875;Kwacha methodology;f4bb0e99-eecc-433a-90ac-2b1ae388b954;incentivize;feed Taiwan productize;40439;56829;adapter Loan
8;73184;HTTP;77487;models Idaho Cambridgeshire;Hat;2023-11-01;24483;Mouse Decentralized;2023-10-31;80331;Trail Afghanistan;17b786c8-b194-47a8-8dbd-4e451fb05e3c;Washington Montana;Credit red Soft;65614;54952;Ergonomic
9;59433;array enhance;77202;SDD cross-media Forks;virtual Idaho;2023-11-01;25642;feed TCP;2023-10-31;55952;solutions South middleware;c8f68a04-ed29-4926-81f0-a588b787363c;Account Phased;bluetooth frame;53273;63042;Designer XML Polarised
10;34370;Bermuda;46682;Global Hat ubiquitous;Future synthesize Summit;2023-11-01;58861;Wooden Skyway;2023-10-31;97875;Israeli;630a1639-4ce2-4987-b1a9-d1240e7f0eeb;Montana;open-source copying;58388;28752;Borders
