id;brach_insance_map_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;57776;Factors connect;drive Practical;Front-line;2023-04-04;Division
2;10157;leverage BEAC;Program application Franc;Market Uganda;2023-04-05;payment withdrawal
3;10893;Data;Officer Supervisor;Fantastic challenge;2023-04-04;Kip compress Solutions
4;44336;zero killer;Chile GB;Somoni Cambridgeshire overriding;2023-04-04;blockchains
5;92047;generate Shoes HDD;Associate Martin;digital Micronesia area;2023-04-05;discrete
6;67681;e-business Walk Ergonomic;red Fundamental Buckinghamshire;Antilles deposit;2023-04-04;client-driven
7;75213;synthesizing Beauty multi-byte;Planner Timor-Leste deposit;Rustic Licensed Home;2023-04-04;quantifying Tactics deposit
8;33065;green responsive;Tasty Tactics;engage Loan;2023-04-04;Points Refined
9;35048;unleash visualize Vermont;holistic Radial;alarm Health bifurcated;2023-04-05;Small deposit
10;17417;Concrete;collaborative;policy invoice green;2023-04-04;Rustic
