dme_group_checklist_id;dme_group_id;dme_group_name;checklist_id;checklist_name;status;created_date;created_by_id;created_by_name;updated_date;updated_by_id;updated_by_name;dme_group_checklist_master_uuid
1;9897;National neutral Berkshire;49631;copying Tactics payment;mindshare quantify Borders;2023-03-02;79821;Corporate Practical Row;2023-03-03;76194;Granite Market Path;125ee747-f214-4f17-9907-ef34d6112231
2;14349;Washington Vermont 4th;90076;Bike;card Yemeni;2023-03-02;54676;Consultant;2023-03-03;23838;Computers Arizona;0664a4ce-19c2-4b86-9e3e-d62d77152f4e
3;43887;revolutionary Adaptive Sleek;89065;Gloves;Dominica Rhode;2023-03-03;55606;Tactics;2023-03-02;41544;Cheese gold;2e3a3473-20cb-4a56-9218-c6029c33a657
4;83022;Sports National technologies;8806;Vanuatu;dedicated;2023-03-02;30185;Account 3rd Rubber;2023-03-02;36730;deposit;14d4d7f4-0c84-4d46-b95e-61afb815c90f
5;11133;Accounts;27580;infomediaries;Clothing Directives enable;2023-03-03;23583;Clothing capacitor deposit;2023-03-02;68386;SDD Cotton Car;7b8d1150-f8e4-4afa-bf59-8c4e0c95b3a0
6;21060;Markets payment;97398;core yellow multimedia;methodical;2023-03-03;99738;Salad;2023-03-02;95370;violet;7d1f028c-7b98-499b-9805-c4130d3981f5
7;69419;invoice Associate;87577;magenta Metal;Sausages Enhanced;2023-03-03;44722;encryption magenta;2023-03-03;83702;integrate;88080aaa-aaca-4424-9d78-f72008b42202
8;78812;pink Montana;2673;Shilling Saint Practical;Outdoors Fiji;2023-03-03;55191;Ball Metal;2023-03-02;35109;China;d299d516-bb3b-4fd6-8e6f-df21cd4e7266
9;82038;Vermont;23758;Wooden;Ecuador exuding;2023-03-02;20590;Configuration Integration;2023-03-02;54693;Customer Accounts;fb01140c-aa49-4d59-9299-bc5c158fbe0b
10;40353;Luxembourg support Salad;91370;integrate;payment Ridge;2023-03-03;25954;cohesive overriding array;2023-03-02;44238;Baby Bedfordshire;39f15112-35e1-486a-b30b-755bec5bcecc
