id;itm_lction_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;97958;Cape redundant Plastic;neural;Lead Salvador;2023-04-02;driver
2;70228;Account Berkshire Korean;circuit;access AGP;2023-04-03;Avon payment
3;76533;next-generation Macedonia;Iowa;compressing;2023-04-02;Metal
4;57742;Krone;Canyon;Seamless;2023-04-02;Senegal Sleek Kiribati
5;22415;methodologies;innovate override;Wooden cyan;2023-04-03;Gorgeous generating Minnesota
6;46076;FTP Ferry Integration;Delaware Leone;application Buckinghamshire up;2023-04-02;Car
7;23997;payment Chicken;microchip Awesome Diverse;synthesize;2023-04-03;Dollar CSS
8;84154;mesh Ball;magnetic Multi-layered;collaboration up leverage;2023-04-02;Swaziland index
9;6410;Clothing Human Senior;enterprise Pants non-volatile;algorithm;2023-04-03;Industrial
10;62979;capacitor Virginia;invoice payment invoice;intangible iterate Up-sized;2023-04-02;program olive
