po_items_id;po_id;po_number;item_id;item_name;item_no;item_uom;ordered_qty;received_qty;cancelled_qty;unit_price;total_amount;status;notes;created_by_id;created_by_name;created_date;updated_by_id;updated_name;updated_date;purchase_order_items_uuid;po_status;wheather_serialised;lot_no;mfg_date;received_date
1;42950;Taiwan Fresh XML;3733;invoice;Bedfordshire Plastic unleash;SQL Web;78611;39741;82577;70410;10225;Open-architected cyan;purple;45437;Station back-end;2023-03-16;12172;visualize optical;2023-03-17;5a0c49f2-b983-4de5-bc1d-a9f2304549fe;Savings Operative Concrete;moratorium projection card;synthesizing Morocco;2023-03-17;2023-03-17
2;97121;maximize orchid;67643;definition;wireless seize;Account;70748;84979;49497;27694;23811;Mountains invoice Leone;Director Handmade users;10876;Mobility Configurable;2023-03-17;1477;Refined;2023-03-16;16443b92-fa37-4dc6-b61e-ac6a993e86d1;hard Hungary Regional;JBOD navigate Architect;Jewelery;2023-03-16;2023-03-17
3;60415;Square bandwidth;19564;magenta Pound;HDD Shores;deliverables;86963;49572;66914;97071;12383;synergies;morph;10981;Avon;2023-03-16;58148;Berkshire;2023-03-16;4905fa30-4b51-4d83-a721-fd1741ce1c9c;Beauty archive bleeding-edge;Venezuela systems;Clothing deposit port;2023-03-17;2023-03-17
4;39374;Slovenia tangible;31090;Mauritius Denar;Colon Generic responsive;wireless;59876;25175;37899;92963;26368;Intelligent CFA Gloves;black Crossing SMTP;48683;Lanka;2023-03-16;74541;Coordinator;2023-03-16;835d2763-096e-41ca-864f-cf4d157c60cf;Assistant;California;compress Hawaii;2023-03-16;2023-03-16
5;2672;Malta Solutions;73883;Granite Health National;Chief synthesize compress;Towels;77443;55928;52493;59577;54435;Synchronised;Borders;78235;Bedfordshire Soft Grocery;2023-03-16;53073;Compatible olive;2023-03-16;b56210fc-7a4f-48f3-8ef1-16e40ca35005;Bedfordshire;reinvent;bleeding-edge District B2B;2023-03-17;2023-03-16
6;36713;paradigms;42558;Jordanian Buckinghamshire;override;frictionless Brooks indexing;14107;65191;98425;88183;40575;Berkshire Salad;cross-platform override Greenland;42295;synthesize 17(E.U.A.-17);2023-03-17;73453;end-to-end;2023-03-17;10243238-fb84-473e-bdfc-09d2c65e0bc5;Zimbabwe Beauty;interactive Decentralized;Books overriding;2023-03-17;2023-03-16
7;2596;Brand Product bluetooth;29456;index;empowering;Legacy Product Central;94199;37432;40440;61994;31130;Investor Arkansas deposit;Soft;12514;program SAS Implementation;2023-03-16;11144;grow JBOD;2023-03-16;5495f8db-8676-4f4f-9b0a-0ae961cce033;Mouse;forecast calculating;Generic visualize;2023-03-16;2023-03-16
8;84807;withdrawal Cotton;53720;Taka Chair;payment;Ramp;89612;15517;73145;74173;98148;transmit cross-platform Money;Dollar;74258;Representative SSL plug-and-play;2023-03-17;74714;Tools Soft;2023-03-16;5e75edea-b693-4921-8529-de0ba9dd730f;Future Principal bypass;quantify;Global Human;2023-03-17;2023-03-16
9;68522;alliance system Account;79228;Oklahoma;redundant Virginia;Fantastic;10841;33218;73455;47496;70479;AI;ivory Loan;11253;Account;2023-03-16;10480;Avenue;2023-03-17;e5026e83-4c69-42f3-93a7-d2ba6cec514e;lime Representative;Sleek primary;Maryland;2023-03-17;2023-03-17
10;4396;online;49573;Buckinghamshire Practical Steel;Fantastic Via Rubber;Operations;61344;94667;22940;48970;9788;invoice Rustic Utah;HTTP;88069;Vermont;2023-03-16;2816;Gorgeous;2023-03-17;c98f1ca7-f9f1-44b2-be04-388564ade2b4;Arab;bandwidth Ergonomic;tan Ridge;2023-03-16;2023-03-16
