file_status_id;file_name;run_date;process_date;process_status;claims_report_file_process_status_uuid
1;Real cohesive New;2022-11-30;2022-11-30;Seychelles;1e625aed-4d7b-4a73-87a2-86286d0927e5
2;teal;2022-11-30;2022-11-30;Outdoors;dc403e13-bf2b-41b7-88bf-b64d88c3651f
3;deposit Romania neural-net;2022-11-30;2022-11-30;Investment;0df2adc5-e9c4-4187-b33f-30f4f013f9ab
4;Global;2022-11-30;2022-11-30;Berkshire;fc154c50-0e4a-422c-929e-5eff6a669b9d
5;FTP synthesize Cambridgeshire;2022-11-30;2022-11-30;Car;45614d19-7a28-45ef-a524-ab0df08ba7b7
6;Trail up;2022-11-30;2022-11-30;quantifying program driver;7bc5eec9-624a-48e8-befc-6660512ba595
7;Mexico deposit;2022-12-01;2022-11-30;Ball GB;e91a9039-af69-4425-8eee-5c1d867337dd
8;Maldives;2022-11-30;2022-12-01;Card;5c19c501-8ef3-40a7-bdef-446378a17210
9;USB Table partnerships;2022-11-30;2022-12-01;Cambridgeshire;627b172e-9882-4461-958b-8d1c872df65b
10;programming;2022-11-30;2022-12-01;XML Vista Investor;06e31773-25b0-4d7d-88dd-de5fb73b3213
