item_id;item_name;item_description;item_type_id;item_group_id;sale_type;coverage_type;weight;lot_status;kit_status;kit_type;item_pricing_default_rental_amt;item_pricing_default_purchase_amt;auto_reorder_status;exclude_po_status;exclude_so_status;ndc;ndc_unit_of_measurement;manufacturer_name;manufacturer_id;manufacturer_barcode;default_vendor_id;exclude_standard_priceing_stat;user_field_1;user_field_2;user_field_3;billing_multiplier;claim_note;item_uom;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;updated_date;item_master_uuid;item_number;item_group_name;item_type_name;primary_procedure_code_value;default_vendor_name;resupply_type_status
1;deposit generation Data;Home Kentucky deposit;16945;52394;Account metrics;HDD olive Steel;Integration;e-markets blue Handcrafted;Supervisor grey;lime Account;22469;59148;grow;pink;Fully-configurable Plastic;Avon Automotive;index index;Green Technician;37138;Morocco Planner empowering;71302;Garden;Locks Fish;Reverse-engineered Coordinator Mayotte;matrix;Grocery Applications connecting;Tools system Accounts;Algeria initiative;open-source silver;46792;2023-02-16;Towels;Cambridgeshire Manor;10425;2023-02-17;a40bd615-9d1a-4dcd-8f77-e355526e8f1c;User-centric;Automotive;monitor;generating Metal e-commerce;virtual;focus Korean portals
2;Underpass Maryland;monitor;24077;18752;Fish;zero;mesh relationships;Dynamic Profound SMS;parse;holistic;27478;87913;Metal driver deposit;parse;Loan Granite;repurpose teal Forks;Soft;productize Bacon Cotton;25564;Pants Loan;75225;systemic Dirham;Mouse;Generic Senior quantify;Checking Dollar;synergies Pizza clicks-and-mortar;Won;Outdoors;Rupee Practical vertical;32757;2023-02-17;withdrawal orchid XSS;Maryland salmon;90823;2023-02-17;0dac99da-3efb-4aaa-90f6-c8a37d692436;Tools Fresh Metal;Regional User Tasty;Borders virtual;Tasty matrix;Dollar;Licensed Ohio
3;Borders;streamline;91598;96759;Lilangeni Shirt;grow Account;invoice responsive neural;Road JSON;calculating;Tools;447;73856;Hat Rubber;Utah Senior;world-class distributed Austria;distributed;visualize;asymmetric;93450;Representative;84851;PCI Plastic sensor;Games;transitional HDD;Israel neutral;bleeding-edge Granite;JBOD channels;Rican Web Developer;indigo Table;72286;2023-02-16;SQL quantify Montana;Buckinghamshire Frozen;89309;2023-02-17;ccfd8450-635c-49bc-b316-9cb0824a99dc;Steel Account;Lead Angola;Avon neural Market;blockchains harness PNG;Vermont;generating synergize Account
4;Courts copying;Graphical;40758;68527;infomediaries Practical Franc;Loan Wyoming Pound;FTP Lock;Bedfordshire;withdrawal override;Direct Steel Gorgeous;18731;44813;invoice Car context-sensitive;Uruguay Road Music;Loan Wooden dot-com;empowering Rustic Minnesota;digital redefine payment;Card didactic;86339;Soft;34494;platforms Multi-channelled;platforms;online bluetooth Chile;Fresh Iran;focus De-engineered;revolutionary Rubber parsing;Analyst Plastic;hardware Infrastructure;9635;2023-02-17;Intelligent back Granite;copy;30294;2023-02-17;f26d98c5-9abb-4881-aca3-f4e2bed827d1;systemic aggregate XML;Missouri alarm XSS;Engineer Shirt transmitter;online optical;Nakfa;Soft
5;Avon Sausages methodical;zero;37418;96481;Frozen Steel;blockchains;Administrator end-to-end connect;SQL;deposit;mindshare;15770;43454;Principal circuit Account;infrastructures Steel;Table global;Garden Brand driver;Assurance;SMS;30752;infrastructures Circles Rubber;57235;Gorgeous;Home connect input;gold Idaho;digital Wooden;Frozen parsing;Kwacha;deposit Outdoors Berkshire;Account action-items New;6484;2023-02-17;generating program;Caribbean Seychelles;93965;2023-02-16;b92463c7-7fb1-4aea-999f-42f21f96a49d;Specialist Baby;generate Industrial programming;Card Kids;Mayotte Games 5th;Awesome reboot;Global Developer SQL
6;leading CSS;Creative web-enabled Fish;20311;57363;GB;Unbranded Handcrafted;methodical Account;turn-key;synthesize Baht ubiquitous;deposit;69279;35032;Licensed coherent Car;metrics Cheese Slovenia;Dollar Fields;input;communities Bahrain Kuna;Division drive;86472;Forges Global Architect;58937;cross-platform;Bedfordshire;robust mindshare architectures;Computers ability clear-thinking;Connecticut virtual;Won invoice JBOD;Practical Investment generate;cross-platform;12589;2023-02-16;Loti;Dynamic;63056;2023-02-16;bdf2aff0-acf3-4d99-9948-58959ab03fbb;Chair Customizable;firewall capacitor;gold Parkways Associate;Highway Chips;Palestinian Saint Licensed;purple orchid Account
7;copying alliance Strategist;Centralized AI Investment;28700;22444;AGP;multi-byte SQL generate;high-level redefine Cambridgeshire;blockchains;Concrete;Street Incredible interface;89671;82032;Licensed;asymmetric;Guinea;haptic;Health;e-enable Pike;25776;invoice;83360;pink Nevada;violet;facilitate Polarised;Loan Computers South;Object-based SSL;Operations superstructure Ball;Peso RAM green;Multi-lateral Accounts;63041;2023-02-16;Alley quantify;RSS;83887;2023-02-16;396554a3-db97-464c-a73b-b1e3629a9251;North Uzbekistan metrics;Refined Hat;Steel Phased fuchsia;Pants Frozen white;generating;protocol real-time fresh-thinking
8;Personal cultivate;even-keeled;65290;8038;program Brook;SMTP Creative;bluetooth Mountains;Progressive Versatile;Awesome Fully-configurable Pakistan;payment Alabama invoice;41786;85203;Bedfordshire;help-desk CSS;Concrete black Avon;optical;methodology Research state;Profound Ergonomic;60959;action-items XSS;69731;ROI Checking;matrix;compressing Baby Brook;port;Sausages Brand Table;Kids applications Missouri;Director;methodologies;60276;2023-02-16;HTTP;Iceland Applications;97542;2023-02-16;7509517e-6da8-4fe8-b8c6-f1f91024b7b9;Shirt Officer;Beauty payment New;Beauty Wooden;Manager Small Wisconsin;Idaho supply-chains;Director program
9;TCP;deploy Automated;6940;68864;PCI bandwidth Cotton;Dynamic Georgia Creative;Buckinghamshire Developer;maroon;SSL connecting Cotton;analyzer invoice;65742;42285;Games hacking;Planner;turquoise Berkshire;content;blue Montana disintermediate;Rubber;97859;Direct parsing;76420;Sausages;invoice Fantastic blue;Outdoors Armenia alarm;Ringgit programming;withdrawal;intermediate Table;Gardens Savings Pants;Wisconsin streamline Table;11658;2023-02-17;fault-tolerant Administrator Forges;navigating Gloves withdrawal;19086;2023-02-16;4cb8b877-628c-4ff0-9b54-fa9f3cebfe0d;eco-centric Pizza;Gloves redefine;Equatorial Soap generate;Books Junctions parse;yellow invoice blue;Stream extensible
10;PCI;Soap;66679;16203;neural circuit;Soft;Reverse-engineered;compressing concept;deliverables Ways;Maryland navigate;50248;68352;Chips;PNG up;Metal Baby Home;Games success Account;indigo;Health SAS Movies;83446;transmitting;51785;Account black;feed Vietnam;Wooden Solutions solid;bus;Program task-force Balanced;HTTP Optimized;Intelligent;schemas Fish;1247;2023-02-17;Rubber Loan Gorgeous;IB;97144;2023-02-17;8757d785-e48b-4218-bf21-5ec77c3a3878;mesh recontextualize generate;optical;Pizza;white Zloty;primary;Legacy
