inv_line_itm_psting_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;integrated;Rustic;Consultant Producer Customer;2022-12-12;application
2;Gorgeous expedite;Computer Points;Personal;2022-12-12;Wooden synthesizing eyeballs
3;Interactions calculate Libyan;modular blue 1080p;Dollar;2022-12-12;Response Fantastic generation
4;Table Bedfordshire CSS;Re-contextualized;Soft;2022-12-13;generate navigating Islands
5;Frozen schemas firewall;Rustic Borders;Facilitator;2022-12-12;Intelligent Plastic initiatives
6;wireless;emulation connect;Handmade invoice;2022-12-13;secured Harbors
7;withdrawal paradigm;Incredible Technician Plastic;Account XSS relationships;2022-12-12;Plastic
8;panel Steel;Assurance deposit;Chips Shoes;2022-12-12;olive parse
9;Team-oriented Generic;distributed Implemented Architect;supply-chains;2022-12-12;Maryland
10;Intelligent;Washington;hard Rustic copy;2022-12-13;Function-based Intranet
