tax_zone_id;state_code_id;state_name;state_code;tax_rate;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;updated_date;tax_zone_uuid
1;57345;Fantastic;function programming Senior;26233;superstructure Producer;7695;2023-04-03;whiteboard;HTTP feed Strategist;11060;2023-04-02;d66f4b69-3102-4ec0-8d97-52cc40d662ad
2;10000;Stravenue Ohio open;invoice cross-platform;11984;calculate tertiary;67159;2023-04-03;communities;override Soap;38585;2023-04-02;a6c1d920-4fff-4d25-8b30-9f0ca3067a00
3;12714;Tasty Underpass;Generic payment fresh-thinking;17539;Kyrgyz;39503;2023-04-02;payment haptic Lane;Mouse;30754;2023-04-02;776fd2ee-d637-4ec6-aaed-4f2b8a7dcf70
4;96007;Account Outdoors;Central;45193;orchestrate JBOD programming;89127;2023-04-02;Supervisor;indigo invoice 5th;91303;2023-04-02;fd09ba7f-6419-4c33-be38-766392334cd8
5;84898;wireless;flexibility;23967;software Berkshire;32755;2023-04-03;Rial;Industrial;47132;2023-04-02;a0c5b8ca-5418-467c-be6d-b6a613a321df
6;57854;Credit Account;enhance paradigms;43756;Incredible;49900;2023-04-03;Toys array;black Towels connect;70912;2023-04-02;90bbe3b0-e4ab-42ca-b5fb-a9d2fa79f17e
7;93414;indexing;Soap;92834;Plastic Personal Fantastic;45687;2023-04-03;approach RAM Universal;compress Soft;75775;2023-04-02;ebbb5220-009b-449e-97cb-804fc00a2dcb
8;71294;Baby;Singapore Village parse;7463;Technician;12494;2023-04-02;Bedfordshire;Group fuchsia relationships;14987;2023-04-03;5cdca500-c8c6-42fd-b7f9-90286bacf17f
9;25348;complexity THX Mobility;Soft Senegal;61780;back-end;93285;2023-04-03;Gorgeous hardware;Adaptive Loan;61055;2023-04-03;082b6829-b8e6-484a-a20a-9bdb5f9bb81f
10;91461;Cambridgeshire strategize evolve;Indiana;88534;Games;5545;2023-04-03;alarm;optical back-end;5676;2023-04-02;3d2e46dc-f764-47a9-8044-37dea94e37ba
