item_asset_number_id;item_id;item_no;item_name;location_id;location_name;asset_number;on_hand_status;on_rent_status;purchase_date;sale_date;depreciation_ready_status;depreciation_status;useful_life_in_years;start_depreciation_date;original_cost;book_value;accumulated_depreciation;residual_value;user_value_1;user_value_2;user_value_3;user_value_4;lot_batch_no;lot_batch_date;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;updated_date;item_asset_number_uuid
1;61126;attitude-oriented Money;Gorgeous CSS;98771;Sports Executive multi-byte;Agent;deposit Landing Avon;deposit back-end silver;2023-07-27;2023-07-26;tan programming Steel;Nicaragua;16475;2023-07-26;22267;98558;77156;73395;Oro grow protocol;lavender Usability;tertiary;Administrator;XSS programming Monitored;2023-07-26;Future;47822;2023-07-26;SSL projection;orange;40219;2023-07-27;986973d1-70e6-4832-b158-e3dd0a9b65ee
2;11877;Rubber bypass;XSS Fantastic;21739;transmitting Kids;parsing;turquoise;viral Group;2023-07-26;2023-07-27;Namibia niches Fully-configurable;deposit SMS Refined;12877;2023-07-26;46443;80086;77654;57329;Concrete Fish Senior;neural;Dynamic;executive;Corporate invoice Infrastructure;2023-07-26;Fish Georgia Checking;88782;2023-07-26;embrace Usability quantify;e-business;2087;2023-07-26;fcfaa70b-06fa-4399-ac41-d924246c6f98
3;41828;Credit;bandwidth Beauty;51150;Representative Strategist;Principal Computers Account;functionalities Versatile;deposit channels;2023-07-27;2023-07-27;success Applications platforms;Nebraska Solutions;19700;2023-07-27;67413;33126;41282;12755;parse;Franc Card green;Public-key panel Generic;Representative sensor;Metrics;2023-07-26;generate;52082;2023-07-26;Fantastic;strategize;9938;2023-07-26;3372f9dd-4162-47aa-b22c-f93e650c421f
4;33361;supply-chains explicit;drive haptic;99008;Assistant matrix Quality;Representative alarm;Account Hampshire;system-worthy;2023-07-26;2023-07-27;Incredible Plastic Clothing;Soap Account;43382;2023-07-26;98293;84708;25781;26409;Bhutanese;matrix;reboot;Adaptive;d'Ivoire Soap calculate;2023-07-26;Assistant;61778;2023-07-27;ivory;Tenge navigating;69024;2023-07-26;7854db26-dbc8-4115-96ac-20a1a2c6097e
5;49834;Trafficway Islands;West Lev;70683;hacking Persistent;Assistant strategic;Sleek overriding auxiliary;Cotton payment;2023-07-27;2023-07-26;Chief;Franc Namibia;56734;2023-07-26;13442;50929;80857;96822;fuchsia Sausages Card;Dynamic Wooden transition;Awesome Baby;optical deposit;Global;2023-07-26;Clothing Tuna Mauritania;67896;2023-07-26;generate Granite state;Tonga;60071;2023-07-26;4d07a7b0-4413-4615-a0c8-f9dd1053b153
6;280;Junctions Movies;microchip strategic;12808;Rustic;Customer-focused Cambridgeshire Manager;payment Electronics;capacity Plastic;2023-07-27;2023-07-27;Grocery;Dollar Account;47382;2023-07-26;2553;21815;47208;26181;Generic Delaware migration;client-driven Automated Ridges;incentivize Peso;interactive Oklahoma empower;Soft;2023-07-26;Salad;503;2023-07-27;transmit Facilitator;Shoes;9969;2023-07-26;249de217-c64b-4815-8748-e1426363508f
7;44227;Small grid-enabled;Licensed protocol;72185;Strategist;Island;Games violet;Communications Markets;2023-07-27;2023-07-26;e-tailers XSS;whiteboard Mexico;28193;2023-07-26;85742;53472;59859;9403;lavender bandwidth Account;Idaho Business-focused;tangible;Chips distributed;calculating;2023-07-26;system Bedfordshire Rupiah;77488;2023-07-26;Steel;Steel Direct;68112;2023-07-26;0aa56811-f8ba-4460-8c3f-7d9df8b837c4
8;16350;Investment Versatile wireless;Granite Car;5478;supply-chains Mobility;card Frozen;deposit;24/365 modular engineer;2023-07-26;2023-07-27;synergize Table;Producer;51157;2023-07-26;8921;20983;25432;5517;impactful navigate infomediaries;Cambridgeshire;Egyptian microchip Books;Tactics Account;functionalities Multi-layered;2023-07-26;Cross-platform Future;29026;2023-07-27;compressing Zloty;Optimization online Implemented;69094;2023-07-26;3084b2e1-b4e2-4c8f-b53b-20b1103a2d66
9;21437;Business-focused Heights calculating;Handcrafted;96038;pink;Accountability;Savings Table;copying transmitting;2023-07-27;2023-07-27;content Fish Human;Inverse pricing Dale;74965;2023-07-26;55719;58077;51496;64115;Small Accountability Bedfordshire;Seamless best-of-breed Concrete;Granite Chips Bermuda;Loan Computer calculating;Baby drive;2023-07-26;invoice;70795;2023-07-26;hack Rubber;synthesize Producer quantifying;26508;2023-07-26;6044746d-9b79-43d2-9a34-d1b2e4f6b3aa
10;80191;Shoes;Dynamic;11204;Intelligent digital;card Mexican generating;Unit;Berkshire collaborative solid;2023-07-26;2023-07-26;Jewelery azure Garden;Idaho Pine Directives;67468;2023-07-26;58268;3405;67444;75331;SDD Ohio;methodologies;Public-key Account;Lanka methodologies;connect;2023-07-26;program;13863;2023-07-26;RAM;Steel Valleys;70979;2023-07-27;5f56b4c3-ac7d-47a0-ab79-dc28fc50c17c
