sals_ordr_item_detail_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;Corporate;Summit incentivize;Home;2022-12-12;Strategist
2;pixel;even-keeled Automotive Computer;enterprise Hawaii;2022-12-12;Handmade Avon mobile
3;Oregon;generate;Cross-platform invoice matrix;2022-12-13;Connecticut Virginia protocol
4;calculating Malaysia Hat;Sleek;eyeballs Auto Checking;2022-12-13;generating
5;Specialist Internal;THX Self-enabling Borders;Auto;2022-12-12;Kuwaiti
6;radical;withdrawal;markets ivory Kids;2022-12-12;Central Manager sensor
7;capacitor web-readiness overriding;payment;Row;2022-12-12;Philippines compressing
8;overriding Bond Home;Checking;Awesome Director Sharable;2022-12-12;Developer aggregate
9;Cambridgeshire generate Islands;reboot;Handcrafted markets;2022-12-12;web-enabled Ball
10;deposit;Refined;Baby Future-proofed District;2022-12-13;port navigate
