par_so_id;par_id;par_no;so_id;so_no;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;par_so_map_uuid
1;47919;withdrawal Pennsylvania;32082;Directives yellow;monitoring quantifying;82051;strategic Dollar 24/365;2023-06-28;9741;synergies Cambridgeshire Concrete;2023-06-27;67cd6b23-0c0e-4a3a-b834-12749d13065e
2;71694;workforce actuating end-to-end;80133;Officer generation driver;paradigms Silver;83945;Toys circuit;2023-06-27;79894;Chair Dominican index;2023-06-27;860d3e03-a12f-4c44-a731-aa4760cd2d33
3;88301;Cote global;32061;bypass Configurable cross-media;tan;79548;Parks;2023-06-28;83407;Computer Naira;2023-06-27;070bf5a9-1b30-476d-a93b-202c16f982a0
4;38144;whiteboard Hat pink;19761;Shirt Electronics syndicate;incremental Brook Pizza;85619;Officer Dynamic;2023-06-27;61558;invoice Christmas;2023-06-28;a86189c6-6716-44a3-9dc6-4b9cb3bd27eb
5;93150;virtual orchid;48477;Car cross-platform Functionality;Ghana Shoes;86998;mission-critical;2023-06-28;18339;users;2023-06-28;19d7d9b1-6384-4a50-a62a-064d83afe052
6;36481;Bedfordshire Guadeloupe;93409;JBOD;of Kentucky;12157;Bacon;2023-06-28;44385;fuchsia initiatives Yen;2023-06-28;6392af1b-a803-4773-a18d-e36859a3a81a
7;40783;input;25227;application bypassing Producer;revolutionize distributed mission-critical;41090;Facilitator Electronics;2023-06-27;49143;Concrete;2023-06-28;975a2ace-1f90-4ed6-bd7f-b3cdeaf001e1
8;90892;enable hacking;9993;National;navigate;72717;Cheese Multi-channelled;2023-06-28;46725;Generic Account;2023-06-28;1e4946a6-bcea-4576-8fbb-547dd5ad446d
9;64569;sexy;15545;end-to-end Tasty invoice;productize Web People's;4468;value-added Universal;2023-06-27;83689;payment capacitor Orchestrator;2023-06-28;151dc3e1-63d2-43b0-b05b-8bbb0fa9f992
10;52399;cross-platform Account;28815;markets modular Investment;engine state Designer;87480;emulation Cambridgeshire;2023-06-28;6587;Mayen;2023-06-28;a53a4d70-bdcc-4f97-8faa-a76c06a3cdc1
