depreciation_method_id;depreciation_method_name;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;depreciation_method_uuid;updated_date
1;Cambridgeshire benchmark compressing;navigating;16266;2023-07-27;Account Norwegian Avon;Networked;33231;2c49102d-33e8-4b65-b38f-7faf2e3fee83;2023-07-26
2;Architect Montana;Bike quantifying Berkshire;45668;2023-07-26;Mouse Garden implement;Account;18056;6d917653-c589-4915-b61a-f1c142ca80e6;2023-07-27
3;conglomeration Metal Handmade;engage Synergistic;28803;2023-07-26;Developer;redundant regional;63952;4a18170e-d34a-41f6-9c66-e159ffa76335;2023-07-26
4;Dinar Direct;payment Samoa;97219;2023-07-26;Chief;Sausages Buckinghamshire Orchestrator;62432;4ccdf284-e5f2-44bd-a92a-c2a50036ab5b;2023-07-26
5;Chief;frame Dinar;41459;2023-07-27;motivating database Designer;integrated;99206;afc647bd-f45d-4596-b5ca-920f7fbd52e9;2023-07-26
6;methodology 1080p;Solutions Expanded;9478;2023-07-26;Steel Robust Chair;microchip multi-state interfaces;31702;837290b5-4743-4472-8c58-e9fd7ff250af;2023-07-26
7;intangible pixel;Court Computers;76411;2023-07-26;connect Customer;deposit;94192;2d882a42-1353-46a7-b9e2-d96607045e34;2023-07-26
8;IB;paradigm bluetooth reboot;46929;2023-07-26;Buckinghamshire;interfaces;18132;a89a0f87-9dd4-401f-9a7b-77afba2371d0;2023-07-26
9;bricks-and-clicks;Cotton;41266;2023-07-27;copying Light Germany;networks;45632;9d8d9db6-e75c-473d-8989-4ddf5f165cba;2023-07-26
10;Small Nicaragua Functionality;Oregon;4138;2023-07-26;enterprise Course;Legacy HDD;31434;6ef2db03-c0a9-4d29-b6c7-dcae687fe932;2023-07-27
