id;inrance_docmet_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;70875;deposit;Korea Mobility Wooden;Lari Franc;2023-04-02;Program withdrawal
2;47373;Avon Reverse-engineered;systems withdrawal;Industrial compressing;2023-04-02;24/365
3;72093;Wyoming;Checking transmitting;Fantastic Divide applications;2023-04-03;solution-oriented firewall Generic
4;21256;Prairie Central Principal;Handcrafted withdrawal copy;throughput hack monetize;2023-04-02;Canadian Sausages
5;13579;radical ivory;Strategist extensible;Fresh Steel Locks;2023-04-03;circuit
6;75141;Namibia;Account Bacon;SSL Small;2023-04-02;impactful reboot turn-key
7;48163;Chair;Cambridgeshire;Computers;2023-04-03;Research user-centric generation
8;64218;Lilangeni efficient;Sports black;Metal;2023-04-02;bypassing Row lavender
9;54405;Soft National;neural Sleek Maldives;interactive;2023-04-02;Guilder parse reboot
10;15598;Cheese interface bypass;Functionality asymmetric;Cheese;2023-04-02;pink driver
