id;sals_ordr_item_detail_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;756;Soap Summit incentivize;Home;defect Wooden Account;2022-12-13;ability Avon
2;82624;navigate;Parks Chief Handmade;Steel Analyst;2022-12-12;open-source Berkshire Cross-platform
3;64194;1080p Arizona Connecticut;Dynamic Pizza;Malaysia;2022-12-13;orange Avon
4;42886;Orchestrator;Checking;Refined Table;2022-12-13;Internal optical overriding
5;70215;Delaware Auto;Metal Music;Dale bifurcated markets;2022-12-13;Supervisor Berkshire Central
6;97636;Qatar;International District neural;Generic Row;2022-12-12;Philippines compressing
7;83207;Distributed Direct forecast;Rustic Awesome;ubiquitous overriding Wyoming;2022-12-12;green Cambridgeshire
8;77616;Malawi up;Sleek withdrawal Intelligent;web-enabled Ball;2022-12-13;Unbranded Refined
9;74608;withdrawal;solid deposit;Focused iterate Baby;2022-12-12;deposit Granite
10;7950;Generic;blockchains analyzer Internal;Loan;2022-12-12;Enhanced Automotive EXE
