id;brnch_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;83047;web-enabled Books Functionality;Tuna invoice;connect;2023-04-02;Soft
2;75433;Ariary;indexing;Utah indexing;2023-04-03;Wyoming
3;56927;Generic methodology;supply-chains;Automotive architecture Chief;2023-04-02;Triple-buffered asynchronous
4;15583;Shoes EXE Pants;Plastic Response Generic;Future-proofed Maryland;2023-04-02;Rubber
5;57626;Loan Card;Agent syndicate Secured;Investment multi-state;2023-04-02;Kansas
6;95938;Rand payment;Savings calculating;Marketing COM Awesome;2023-04-02;Incredible Optimization SCSI
7;82647;Multi-layered Architect;silver;payment;2023-04-02;vertical Factors up
8;98280;invoice connect Latvia;Fantastic Berkshire overriding;Concrete feed;2023-04-03;withdrawal Ball Consultant
9;92197;deposit e-business;Operative;parse partnerships;2023-04-02;Borders Tala Outdoors
10;91861;SQL Mandatory Granite;optical B2C RAM;Franc;2023-04-02;up
