invce_lin_itm_detil_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;Practical Licensed killer;deploy;Chief homogeneous;2022-12-12;Berkshire generation
2;Springs leading-edge online;models deposit;cross-platform Human Brand;2022-12-12;Metal
3;visualize Account extend;moderator Towels deploy;digital intranet haptic;2022-12-13;real-time
4;encryption;Unit Games lime;hacking;2022-12-12;Loop
5;Future Open-architected;program Games;deposit;2022-12-13;Implemented Designer Soft
6;dot-com up Louisiana;azure;Granite;2022-12-13;Fort microchip
7;Frozen Industrial;whiteboard transmit Steel;strategize;2022-12-12;Illinois
8;haptic SQL Planner;matrix Dynamic;Games Berkshire;2022-12-12;Alley Orchestrator
9;Account Chips Points;National;transmit Southern Inlet;2022-12-12;deposit
10;Concrete quantifying Product;Chicken AI;pixel;2022-12-12;customized
