id;not_rason_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;43392;Refined;Dinar;Cheese;2023-04-03;demand-driven Legacy
2;72606;ADP Saudi;Garden;International Plastic Books;2023-04-02;reboot circuit Sleek
3;56830;salmon Carolina;eco-centric leverage Dinar;Nevis Cotton Florida;2023-04-02;Ameliorated
4;44471;Reverse-engineered green Frozen;Directives Practical TCP;Shoes Metal;2023-04-02;embrace SMS Gloves
5;7101;networks;Dollar Avon;invoice;2023-04-03;Harbors monitor Principal
6;29022;Adaptive;tan markets Cotton;killer;2023-04-03;gold Realigned compressing
7;11660;Via;Architect Future-proofed International;foreground Brand;2023-04-02;solution blue
8;31937;technologies Facilitator;Home Advanced;primary Lucia;2023-04-02;superstructure digital Idaho
9;45064;orchestrate;Infrastructure;Mouse;2023-04-03;Practical Borders
10;77089;frictionless online;best-of-breed collaborative holistic;Bermuda Bedfordshire deliver;2023-04-02;Ireland quantifying Home
