id;patint_diagois_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;57783;back-end withdrawal Cambridgeshire;Sleek interface Digitized;applications Realigned cross-platform;2023-01-23;and Streamlined engine
2;87118;Handcrafted;Tuvalu Refined USB;compelling synergize RSS;2023-01-23;Future Crossing Concrete
3;22402;synergy;program override Metrics;transmit Computer;2023-01-22;Kentucky
4;81576;Granite Wyoming Internal;extend Assurance;Administrator granular;2023-01-22;streamline SSL
5;15347;Fiji;Product;invoice;2023-01-23;brand Accounts Multi-tiered
6;90606;HTTP Enterprise-wide;Quality Associate Enterprise-wide;Polarised bypass;2023-01-22;Branch
7;34343;solid;green Berkshire;Networked Outdoors Shirt;2023-01-23;Beauty frictionless seamless
8;83593;HDD;card;world-class Shoes Forward;2023-01-22;Legacy system index
9;13820;Concrete moderator Rubber;azure;synthesize benchmark Chips;2023-01-23;Tactics Refined Account
10;60843;Borders;back-end Home Taka;wireless sexy Diverse;2023-01-23;Market
