price_details_id;price_table_id;item_id;hcpcs;billing_code_when_secondary;price_type;effective_start_date;effective_end_date;cmn_reqd_to_bill_status;cmn_form_name;prior_auth_req_status;functional_ability_req_status;option_number;option_name;default_option_status;billing_cycle_period;billing_cycle_interval;billing_in_arrears_status;pro_rate_billing_status;daily_billing_invoice_freq;daily_billing_invoice_interval;charge_amt;allowed_amt;allowed_modifier_1;allowed_modifier_2;allowed_modifier_3;allowed_modifier_4;accept_assignment_status;taxable_status;nontax_type_name;convert_to_purchase_last_status;convert_to_purchase_charge_amt;convert_to_purchase_allow_amt;convert_to_purchase_modifier_1;convert_to_purchase_modifier_2;convert_to_purchase_modifier_3;convert_to_purchase_modifier_4;billing_multiplier_unit;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;price_details_uuid;price_table_name;item_no;item_name;item_uom;updated_date;price_option_billing_period_start;price_option_billing_period_end
1;5305;86576;connecting Florida;Refined XSS Inlet;copying Inlet Hat;2023-06-01;2023-06-02;bandwidth full-range Small;Dinar Maine;tan benchmark Infrastructure;deposit Fresh Human;Colorado multimedia Representative;Rial payment;Mountain Product Music;Pants optical;Rubber Rhode;Peso Chief Argentina;Throughway Associate Account;budgetary software;service-desk Dynamic Fantastic;73483;37227;Keyboard;Open-source Architect;Handcrafted;Customer Shilling;partnerships bluetooth synthesizing;SMTP;integrate;National Bedfordshire hierarchy;31840;85897;Chips Plastic;mobile synthesizing e-business;Account;Configuration Credit Centralized;81420;Fresh TCP;5639;2023-06-02;paradigms orange Technician;reboot;Movies;2a0fdd01-0f9a-4275-ac62-3831e8381975;invoice Salad;Meadows;recontextualize Proactive Awesome;target;2023-06-02;51749;40424
2;63936;95800;indigo;synergies intangible;ROI Forward;2023-06-02;2023-06-02;Paraguay;enable Incredible;syndicate Configuration;ubiquitous Kentucky Multi-layered;Accounts invoice;hack transmitting;optical Chips Baby;Granite;synergies Gloves Small;Senior;Automated Missouri;Associate;Berkshire;75568;81639;Hat Granite function;Devolved;plug-and-play Rubber ubiquitous;markets scalable;ivory Hat RSS;Plastic circuit Western;methodology;Interactions evolve;58817;52726;Division redefine overriding;reboot;Chips;unleash blockchains;33761;FTP;77482;2023-06-01;Branding Soap;Generic Home;Cheese deposit;26fcd551-70a7-46ef-a306-5b835333aae8;Mississippi Corners;withdrawal;quantify compressing;User-friendly;2023-06-01;85988;1514
3;57920;89489;concept;Pizza Metal;Legacy Car pixel;2023-06-02;2023-06-02;Human Data;base Officer;Industrial;mission-critical;intuitive Tuna;JBOD Savings;1080p;synthesizing transmitting;panel withdrawal;withdrawal Frozen;Card;e-markets Stream;Granite;96911;31031;connecting;parse;connect Intranet Russian;Configurable Alaska Response;Keyboard;Crossing AGP Oklahoma;Handmade system Computer;Cayman;36930;51585;Account;Division Consultant District;time-frame Specialist;reboot attitude-oriented;98896;background bandwidth-monitored SQL;38430;2023-06-01;Lesotho transmitting JBOD;Shoes Circle;calculate;80f7fb7f-c0e6-4aae-a0a4-192de330e8c3;Dollar Incredible;Ports auxiliary;drive;Granite;2023-06-01;63559;74618
4;1730;4923;Avon Small Security;Table systemic;payment open User-centric;2023-06-01;2023-06-02;hardware;Unbranded Berkshire;SMS encoding;Configuration Fresh;wireless SQL;Music;Fish hierarchy;feed program;Wooden Tasty;platforms;index;Isle synthesize Wooden;online Dollar integrate;44640;14436;withdrawal Auto;Green integrated;overriding;harness Vietnam;Rustic panel;Cameroon Consultant;Islands;exploit;84605;60112;SCSI SQL synthesize;payment;Tuna synthesize line;haptic e-enable Poland;13832;Shoes Kids SAS;71201;2023-06-01;Sleek Fresh scale;communities International deposit;Loan;cba1f40e-21ef-4aaa-a668-55837b3e2fe7;Berkshire;Configuration interface Program;payment Courts;compress Checking benchmark;2023-06-01;3688;70604
5;66626;28435;bypassing programming;Malaysian;RSS IB Borders;2023-06-01;2023-06-01;AI Associate maroon;Ergonomic;convergence Egyptian;Direct Kansas Montserrat;Representative Books;bottom-line Unbranded;deposit Avon;Vatu port;Intelligent Comoros AI;Egypt;Wooden Camp Cheese;Distributed Plastic Malta;Steel Handcrafted;55066;73750;Sandwich Incredible;Michigan;Ergonomic migration;reserved matrix;Human Computer bypass;Developer envisioneer;transmitter Tuna Stravenue;withdrawal Steel;53678;88640;Buckinghamshire Loan;Dollar;Cotton Books Concrete;payment;40642;Hampshire;40614;2023-06-02;Solutions;hacking;Arizona Fresh;ae51a6dd-e545-4293-a2c8-711985869cab;Computers Officer;Denar killer;quantifying orange Square;Concrete system;2023-06-01;31424;66082
6;79148;4045;Rupee;Kids Integrated JBOD;RSS Industrial;2023-06-01;2023-06-02;circuit;Ethiopian Directives;Steel Card State);Steel;Rustic feed generation;e-business;Investment recontextualize;Architect;Account Wooden;Ethiopian Soap;Generic;Micronesia dot-com Frozen;content Gloves Borders;58364;17222;Borders moderator;overriding Plastic;application;web;interface executive AI;Refined THX;Steel;Frozen Fantastic;3088;96200;payment AGP Brand;Quetzal;interactive toolset;Bedfordshire;74885;Jordanian;2816;2023-06-02;Tugrik Electronics;Sterling;Agent Netherlands Summit;f623a4c8-1ebb-40b0-8042-43c3966159d3;Associate;Zambia engineer Steel;De-engineered Integration dot-com;Managed implement envisioneer;2023-06-02;17141;43860
7;42508;90268;Security;SCSI front-end;deposit;2023-06-02;2023-06-02;Bedfordshire;aggregate fault-tolerant feed;iterate Investor;Savings backing Cuban;Fish Chips;tangible hacking;tan;collaboration Car;Dynamic Investor;motivating artificial;e-business;Berkshire Hat plum;multi-byte Chips;3852;96508;alarm;Representative;Group Granite Data;Cambridgeshire;grey;Soft Incredible;Investor Customer-focused firewall;Computers;33615;52887;virtual;Cambridgeshire Plastic deposit;Borders calculating;Music Landing;34980;Soft AI e-tailers;25509;2023-06-02;transmitting International;Mill approach;monitor Account;313447e3-5945-4799-a17b-df0d6e4ea6fa;Granite Division Loan;Hawaii morph;compelling Representative;program Plaza;2023-06-02;44103;65231
8;13229;76157;withdrawal;Streamlined eyeballs;Algeria;2023-06-02;2023-06-02;uniform Future;Bermuda system;mobile world-class Card;indexing Rial;Computers Cambridgeshire;Personal Spring;Principal monetize SMS;Fantastic firewall;Switchable Specialist transmitting;deposit copying sexy;XSS;Unit Facilitator;Won;62317;21536;programming e-business;Enterprise-wide;fuchsia Quality-focused application;Avon optimal;back-end Music parsing;input;Fresh payment Franc;projection;50048;1494;India;Bedfordshire payment bypassing;1080p infrastructures;e-commerce red;8112;Director;60013;2023-06-02;PNG Tasty;Home bluetooth;whiteboard Practical;1ca7dceb-fe75-4ec0-a76b-7278ea10d61f;reboot Metal;Manager Games circuit;and relationships invoice;Cliffs Malaysia system;2023-06-01;82588;8668
9;75772;71820;parse Global XSS;EXE invoice;Eritrea;2023-06-02;2023-06-01;morph;models;compressing;black grey Rustic;back THX;compressing Frozen;orchid contingency;Uzbekistan;extend;one-to-one;Well integrated Station;Cotton Shoes Alabama;Infrastructure;46491;21437;Rustic RAM;capacitor Cotton blue;Coordinator JBOD;Home markets;Fresh;Licensed;tan Web magenta;Card state;67955;3558;China withdrawal withdrawal;interface grow;interface payment navigate;Product Taka Niue;59929;Assistant sky Human;84689;2023-06-02;Baht convergence;invoice Chair;array;f092c45a-802c-420b-b1d1-515bdab682f2;Movies;Function-based 24/365 optimizing;Slovenia Internal Realigned;Refined Gourde;2023-06-01;46673;80151
10;22652;18558;index online;Administrator synthesizing Nebraska;multi-tasking Borders;2023-06-02;2023-06-02;paradigms;Plastic Cotton;Rubber Lilangeni index;Branding generate;EXE;Product Regional mission-critical;deposit parsing;Fantastic copying;Tools AI Orchestrator;foreground;Practical Handmade port;Buckinghamshire Cloned salmon;withdrawal;53929;21511;protocol back-end auxiliary;back-end;auxiliary Manager Soap;transmitter Bedfordshire;array Fuerte XML;blue Computer networks;Crescent;Bedfordshire;48758;1317;migration open;transmitting;Orchestrator backing;Berkshire Cotton Fresh;73116;models Account;22412;2023-06-02;navigate Chair;Agent;structure;3003d1ea-5238-4e67-bdf5-f3d3bcb627d7;application Cheese Argentina;Faroe withdrawal online;Secured Carolina;blue Rand Central;2023-06-01;60660;74358
