stop_reason_id;stop_reason_name;created_by_id;created_date;status;updated_by_id;updated_date;created_by_name;updated_by_name;stop_reason_master_uuid
1;copy Salvador Stravenue;58178;2023-04-03;Legacy dedicated;89874;2023-04-02;Pizza system;Streamlined aggregate;466e64b2-740e-435e-ae04-c88a968123bd
2;invoice;27283;2023-04-02;repurpose mesh user;21519;2023-04-02;red vertical Thailand;Bacon Table;c330ba43-bc3d-4115-a43f-505e8bcf123e
3;Ergonomic haptic supply-chains;23404;2023-04-02;throughput Pants;75023;2023-04-02;grey;compressing Peso;f6bbc384-f14d-462c-92e3-8b5fd73a4adf
4;SDD Dollar;49045;2023-04-03;Home;23423;2023-04-03;disintermediate quantifying Granite;Frozen Investment Fish;17be896e-45b5-4fb8-b24e-484db5970ef0
5;Money Polarised Chicken;84739;2023-04-03;access;51616;2023-04-03;neural;Games migration;a58a75c7-22bc-43e8-80fb-a358568b93dd
6;disintermediate Expanded Fresh;87554;2023-04-02;Books;91468;2023-04-03;port Avon Loan;communities Secured Jewelery;4ef39b59-6b64-443e-a314-79001cdb361b
7;payment;3293;2023-04-02;sensor primary;5601;2023-04-03;Savings Bedfordshire Savings;niches;b53c264c-8164-4f04-80d2-b58dcfdc3cf8
8;killer Avon;88323;2023-04-02;Gorgeous;73117;2023-04-02;Rubber;purple;548bd751-7a40-43ed-a0a7-ba671029e845
9;Reactive;90972;2023-04-02;Fresh withdrawal;24629;2023-04-02;program;Berkshire THX;4a712adb-f5f9-4939-a6e7-80f8a263e794
10;program Senior;17376;2023-04-02;Games;95188;2023-04-03;invoice;Fantastic aggregate Frozen;a802c13f-f27e-468f-8497-9fc579deb068
