id;stck_trasfer_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;21926;circuit 24/7 capacitor;Handcrafted Berkshire Cambodia;Euro;2023-04-11;e-business
2;46713;copy;Vermont quantifying Cedi;Gloves optical;2023-04-11;1080p hacking IB
3;4479;SQL;Malawi;transmitter hierarchy compress;2023-04-11;olive
4;66583;Nepal cross-platform;Steel;Practical Intranet Saudi;2023-04-11;reboot e-services neutral
5;40524;state JSON Re-engineered;Organic Russian Soap;productize Cross-platform Distributed;2023-04-10;Cambridgeshire convergence benchmark
6;86294;array matrix;Checking;Distributed;2023-04-10;compress
7;55410;Shoes;Handcrafted vertical;Unbranded Shoes ability;2023-04-10;virtual Account synergies
8;50962;grey alliance Chile;strategy magenta;web-enabled;2023-04-10;Grocery
9;40338;Legacy front-end;Ergonomic systems;Buckinghamshire;2023-04-10;Creative Administrator
10;87544;synergy Fish;instruction Dominica Innovative;Cameroon Assistant systematic;2023-04-10;British Tonga streamline
