functionality_endpoint_mapping_id;endpoint_id;functionality_id;mapping_desc;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;functionality_endpoint_mapping_uuid
1;17120;44136;Saint deposit;invoice robust invoice;81238;programming;2023-07-07;62603;Sports cross-platform open-source;2023-07-06;599e335f-c90a-4d22-a8bc-4af40318539a
2;67272;94261;Home transparent Steel;pixel Fully-configurable Tala;46843;Internal;2023-07-07;61243;indigo;2023-07-06;47f0f9d6-b160-4da3-96c1-da85540c1f73
3;50881;88847;Dynamic Implementation Colombia;Towels;83748;instruction;2023-07-06;14322;Michigan;2023-07-07;958d47ee-e118-45b5-b4ac-5f756bea3316
4;29005;72604;edge Frozen;invoice Practical;13758;Account;2023-07-07;39480;Universal Saudi;2023-07-07;17db8066-18bd-4957-bca0-222c666973d3
5;38919;36686;Universal;transmitter;21898;deposit lavender Berkshire;2023-07-07;79232;PNG Account Markets;2023-07-07;c3ecffe1-9e3d-4080-a75c-bfd9ea4824be
6;32386;1910;Granite;morph Massachusetts Extensions;18745;Island;2023-07-06;34003;withdrawal redundant;2023-07-06;a4ea3e2b-d560-43d0-9cff-c58f714a3fd6
7;93201;49899;National;Games Tasty;79222;Roads;2023-07-06;86401;bricks-and-clicks matrix;2023-07-06;f0e8b68f-1018-4888-ab71-1702121cb86c
8;3571;93729;bus generate Account;Division e-business;65912;Loan Keyboard;2023-07-07;95103;Frozen Pound;2023-07-06;e2842b30-8f82-401b-9702-3694ae5a6058
9;33060;73068;violet Courts;engage turquoise;24697;generation mobile teal;2023-07-07;92684;Refined scalable Reactive;2023-07-06;f93e9b1f-536a-490b-8976-da04e7b67293
10;45734;43041;override quantify;Analyst;88301;standardization;2023-07-07;13695;Dalasi;2023-07-06;26a69e33-6408-44b6-9eac-57ca1547b94d
