item_inventory_status_id;item_id;item_location_id;onhand_qty;onrent_qty;comitted_qty;inorder_qty;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;item_inventory_status_uuid;item_no;item_name;item_description;item_location_name;bin_no;whether_serialised;whether_asset_tagged;updated_date;on_backorder
1;56343;18728;72984;59539;3136;65965;Niue Cayman;46302;2023-04-11;Borders Principal leverage;Progressive;27066;fbe8d140-9151-405f-b741-57f1b3e98de4;Belgium override;Principal payment;Facilitator Account channels;Account Program Leu;azure Frozen Korea;multi-byte content-based;Pierre generating;2023-04-11;73477
2;26489;97777;42700;79273;29861;58761;Wyoming;36337;2023-04-10;Groves SDR;connecting purple bypassing;85185;e6533f7d-41de-4a0d-9b15-09db567bd69f;SQL;Fords;Licensed;Incredible;invoice;Gorgeous;hack;2023-04-11;74082
3;87528;68880;46151;41501;27001;33143;ADP;33812;2023-04-11;mobile user-centric;B2B Hat;20141;9ea13e46-5696-46ef-be64-ecce8c74a4ad;port teal Account;framework systematic cross-platform;experiences;Frozen synthesizing Licensed;Shore Nebraska Ameliorated;purple Intelligent;Games primary access;2023-04-11;77779
4;4808;81017;30786;38588;14636;79689;Dynamic Palladium African;12797;2023-04-11;Health capacitor;Dollar Card interfaces;77030;ec250cde-476d-4129-86d2-577bfcf9bdef;Right-sized transmit;Steel cross-platform Berkshire;success Producer;Functionality Grocery;Washington Industrial;Investor Handmade;invoice;2023-04-11;35634
5;40905;2695;89988;28045;41142;90903;Angola Implemented;39334;2023-04-10;Global Somoni Minnesota;teal customized Metrics;94392;cd2f6e79-a0b6-4290-9932-c173d22d6a75;ROI optical;Rustic empower mobile;Hills Generic Underpass;Officer;Assurance Mission optimizing;Cotton;lavender;2023-04-10;97484
6;55013;84423;37047;24088;99694;81144;Chad Orchestrator;89920;2023-04-11;Riyal Chair;Hampshire Ergonomic;77994;6ca93b53-8131-4f8f-bbd8-7e3e7045cd43;Soft Bedfordshire Metal;Clothing;copying;Investor relationships JBOD;deposit;optimizing back-end Savings;Investment up;2023-04-10;2177
7;44065;65600;13846;47008;44932;40181;payment Manager USB;14851;2023-04-11;exploit Montenegro payment;quantify Franc Borders;3981;6be5f5fa-2ed3-43a7-88d2-03579e7a5672;24/7 cyan;Frozen Gorgeous real-time;invoice;users SMTP Loti;Corporate;neutral XSS;impactful;2023-04-10;96874
8;25331;90982;51284;36069;90035;99252;Personal national;27135;2023-04-11;Yemeni;Home Tenge;51480;a9ba2cf8-232e-4d08-81f5-d6d7aa0bf365;Avon;Research;channels;capacity Home;Tasty Product Avon;Gloves;Sleek Tasty;2023-04-10;68851
9;34485;81241;75125;33921;23784;13508;matrix;78952;2023-04-10;Solutions;generate;54077;da39cdb6-fa9a-4fb9-84d9-57771e4196e2;Japan Refined calculating;scalable;unleash context-sensitive;Loan Norwegian;interfaces;Profit-focused;Intelligent Money unleash;2023-04-10;64280
10;37261;83194;82471;2942;10218;69267;help-desk Handcrafted Ridges;10178;2023-04-10;vortals transmitting;Usability Wisconsin;69724;2e7b79eb-1dfe-4c5d-97eb-6b15f758f88e;orange payment Ergonomic;Incredible Unbranded Small;complexity;Cambridgeshire;PNG override overriding;SSL Ball Incredible;Israel;2023-04-10;32957
