price_details_id;price_table_id;item_id;hcpcs;billing_code_when_secondary;price_type;effective_start_date;effective_end_date;cmn_reqd_to_bill_status;cmn_form_name;prior_auth_req_status;functional_ability_req_status;option_number;default_option_status;billing_cycle_period;billing_cycle_interval;billing_in_arrears_status;pro_rate_billing_status;daily_billing_invoice_freq;daily_billing_invoice_interval;charge_amt;allowed_amt;allowed_modifier_1;allowed_modifier_2;allowed_modifier_3;allowed_modifier_4;accept_assignment_status;taxable_status;nontax_type_name;convert_to_purchase_last_status;convert_to_purchase_charge_amt;convert_to_purchase_allow_amt;convert_to_purchase_modifier_1;convert_to_purchase_modifier_2;convert_to_purchase_modifier_3;convert_to_purchase_modifier_4;billing_multiplier_unit;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;price_details_uuid;price_table_name;item_no;item_name;item_uom;updated_date;price_option_billing_period_start;price_option_billing_period_end
1;5305;86576;connecting Florida;Refined XSS Inlet;copying Inlet Hat;2023-02-12;2023-02-13;bandwidth full-range Small;Dinar Maine;tan benchmark Infrastructure;deposit Fresh Human;Colorado multimedia Representative;Rial payment;Mountain Product Music;Pants optical;Rubber Rhode;Peso Chief Argentina;Throughway Associate Account;budgetary software;92165;33139;Vermont Cloned calculating;Keyboard;Open-source Architect;Handcrafted;Customer Shilling;partnerships bluetooth synthesizing;SMTP;integrate;78739;89498;Malagasy Germany;standardization;expedite;Plastic SQL stable;88625;Soap Account;88885;2023-02-12;multi-byte Bike neural;SQL;2219;e07b6093-4efa-4d0b-ab40-122a0fdd010f;deposit customized;Concrete yellow;sky Investment;invoice Salad;2023-02-13;46339;49025
2;93406;80015;Producer invoice;Drive Bedfordshire;expedite Concrete;2023-02-12;2023-02-12;Automotive Senegal;Seamless back-end;Rubber Object-based;scalable;Maryland invoice invoice;Towels incentivize olive;Niger pink Rubber;Clothing RAM Developer;Product vortals;District Wooden;Small Steel Automated;Buckinghamshire Associate;12594;49087;Shoes auxiliary;Solomon dot-com Kansas;Pizza plug-and-play Rubber;Dynamic markets;Handmade ivory;Turkmenistan;value-added base;Hat eco-centric Loan;93321;91144;evolve;Emirates Glens;Cambridgeshire back-end Chief;Consultant;39861;District Gourde FTP;77482;2023-02-12;Branding Soap;Generic Home;40345;185cea1b-26fc-4d55-970a-76ef63065b83;Enterprise-wide payment;Borders Granite;Metal Multi-layered Georgia;back-end;2023-02-12;18591;95731
3;85988;1514;Corporate black;SMTP;array;2023-02-12;2023-02-12;Decentralized Qatar Officer;Human Data;base Officer;Industrial;mission-critical;intuitive Tuna;JBOD Savings;1080p;synthesizing transmitting;panel withdrawal;withdrawal Frozen;Card;42887;42234;sensor capacity;parsing Licensed;Implementation connect Intranet;Lari Configurable Alaska;homogeneous Keyboard Applications;AGP;bandwidth Handmade;Branch Intelligent Cayman;36930;51585;Account;Division Consultant District;time-frame Specialist;reboot attitude-oriented;98896;background bandwidth-monitored SQL;38430;2023-02-12;Lesotho transmitting JBOD;Shoes Circle;1573;caf80f7f-b7fc-40e6-aaee-0a4192de330e;open-source Dollar;groupware;payment Steel;Rustic multimedia back;2023-02-12;50921;12939
4;50661;7098;XSS;Licensed Table systemic;payment open User-centric;2023-02-12;2023-02-13;hardware;Unbranded Berkshire;SMS encoding;Configuration Fresh;wireless SQL;Music;Fish hierarchy;feed program;Wooden Tasty;platforms;index;Isle synthesize Wooden;82933;77925;Dynamic Maryland;Crossroad withdrawal Auto;Green integrated;overriding;harness Vietnam;Rustic panel;Cameroon Consultant;Islands;20299;39635;generate Fuerte optical;synthesize Baby Accountability;Port synthesize line;haptic e-enable Poland;13832;Shoes Kids SAS;71201;2023-02-12;Sleek Fresh scale;communities International deposit;4046;9e7cba1f-40e2-41ef-aaaa-66855837b3e2;Central Berkshire capacitor;interface Program;payment Courts;compress Checking benchmark;2023-02-12;3688;70604
5;66626;28435;bypassing programming;Malaysian;RSS IB Borders;2023-02-12;2023-02-12;AI Associate maroon;Ergonomic;convergence Egyptian;Direct Kansas Montserrat;Representative Books;bottom-line Unbranded;deposit Avon;Vatu port;Intelligent Comoros AI;Egypt;Wooden Camp Cheese;Distributed Plastic Malta;36901;13277;leading-edge;Federation Sandwich Incredible;Michigan;Ergonomic migration;reserved matrix;Human Computer bypass;Developer envisioneer;transmitter Tuna Stravenue;38022;66596;back-end Mountains;Buckinghamshire Loan;Dollar;Cotton Books Concrete;8191;pixel Rubber;78408;2023-02-13;Tasty;Frozen Arizona Fresh;63373;e51a6dde-5452-493e-ac87-11985869cab9;Triple-buffered;calculate;navigate Frozen;Dynamic heuristic;2023-02-13;45674;12580
6;19476;82909;methodologies monitoring Chicken;Kids Integrated JBOD;RSS Industrial;2023-02-12;2023-02-13;circuit;Ethiopian Directives;Steel Card State);Steel;Rustic feed generation;e-business;Investment recontextualize;Architect;Account Wooden;Ethiopian Soap;Generic;Micronesia dot-com Frozen;88793;41841;Marks extranet;deposit Table;Bedfordshire intangible;Guilder;multi-byte;calculate web monitor;executive AI partnerships;THX;23256;12374;Global;bypassing Avon bluetooth;AGP;Handmade Global Buckinghamshire;97019;Granite;40403;2023-02-12;Jordanian;Cotton;53111;c0311a49-bfed-4893-bd6f-623a4c81ebb0;Gorgeous cohesive Organic;Incredible SSL;Generic Zambia engineer;Handmade;2023-02-13;16365;15695
7;92754;22366;dot-com compress;implement;hierarchy Table;2023-02-12;2023-02-13;Refined SCSI front-end;deposit;generation;applications;Green;feed;iterate Investor;Savings backing Cuban;Fish Chips;tangible hacking;tan;collaboration Car;39129;89620;invoice Health withdrawal;content-based;Stream platforms Buckinghamshire;alarm Wyoming;vertical Handmade AGP;matrix interfaces Tunnel;value-added SDD grey;Soft Incredible;80962;89269;deposit Handmade;Books;back-end virtual;Cambridgeshire Plastic deposit;48588;Georgia port;1020;2023-02-13;Landing wireless cross-platform;Shirt Gorgeous;36967;dd1ebc77-7741-406b-b19d-b313447e3594;e-markets Wooden;parsing navigating superstructure;Orchestrator Granite;Centers AI Hawaii;2023-02-13;26683;33493
8;66507;34737;mobile RSS transmitting;Berkshire deposit;withdrawal;2023-02-12;2023-02-13;strategize Integration Shoes;Fort invoice;Home Reactive Sports;Berkshire Investor;networks Dakota;Avon Missouri;Account holistic Account;interface Refined Borders;Fish Metal;Frozen transmitter Bacon;neural;sexy Frozen;67001;91717;Facilitator;Won;plum Direct;microchip Optimized fuchsia;Rial;mesh Rustic application;Ball Sleek Planner;parse Fresh payment;68979;14782;Front-line Granite Awesome;XML;payment;Rubber 1080p infrastructures;50775;Credit Computers;31045;2023-02-12;Borders e-business;Tasty value-added neural;59569;86ae1771-ca7d-4ceb-be75-ec0a76b7278e;Small Analyst;Avon Islands Metrics;Games circuit;and relationships invoice;2023-02-12;47975;8433
9;31949;54859;input Borders;synthesize;Executive Bedfordshire Research;2023-02-12;2023-02-12;invoice Concrete FTP;6th;white Configurable black;intuitive;Maryland;Rubber;reciprocal National orchid;Compatible;Data extend;one-to-one;Well integrated Station;Cotton Shoes Alabama;22918;93659;brand Avon;RAM Assurance;Cotton blue Western;JBOD vertical;markets background 24/7;moratorium overriding capacitor;magenta seamless;state Peso;55099;17783;withdrawal withdrawal Iowa;grow Producer;payment navigate solid;Taka Niue Account;82785;sky;89873;2023-02-12;copying Baht convergence;invoice Chair;4394;b56f092c-45a8-402c-a0b3-1d1515bdab68;Liaison;Unbranded;24/365 optimizing haptic;Internal;2023-02-13;71854;91277
10;43694;6013;local Gourde sensor;tan;invoice Account;2023-02-13;2023-02-12;parse d'Ivoire multi-tasking;South Steel;Applications;optimizing Cotton;Rubber Lilangeni index;Branding generate;EXE;Product Regional mission-critical;deposit parsing;Fantastic copying;Tools AI Orchestrator;foreground;82113;11064;asymmetric input;RSS Enhanced Mouse;multi-state;Croatia;Soft auxiliary Soft;Pa'anga Cambridgeshire streamline;Loan;programming Networked array;68428;85567;XML CSS;Computer;parsing Crescent;Bedfordshire;48758;Market;29607;2023-02-13;hour parsing Orchestrator;Movies Berkshire Cotton;12062;ddba6bf9-0f32-4ac5-a206-3fec25e73003;Unbranded strategic and;Configuration rich;magenta interface Street;application Cheese Argentina;2023-02-12;52908;27674
