id;item_grp_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;96035;Computer;infomediaries;invoice;2023-04-10;Identity teal Malagasy
2;1936;Account;deposit;bypassing Indiana Interactions;2023-04-11;Ball olive
3;21644;User-centric rich Music;e-business;Rhode;2023-04-10;Car
4;75588;Games;mobile hybrid;Account collaborative;2023-04-10;Sleek
5;28370;compress;Loan program Cambridgeshire;Oregon;2023-04-10;purple deliverables
6;36768;Steel blue Account;Fresh;fuchsia value-added;2023-04-10;Supervisor
7;59222;Salad;Moroccan;bus National tan;2023-04-10;Berkshire
8;82877;Sweden Anguilla;responsive;Peso Bulgarian;2023-04-10;Horizontal
9;13828;optical Accountability Mandatory;Niue web-enabled Rubber;Car leverage deposit;2023-04-11;Mexico primary
10;46529;overriding;purple;Horizontal radical;2023-04-11;mobile
