id;itm_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;89452;matrix;RSS infomediaries;Awesome Kids;2023-04-11;quantifying e-commerce
2;54283;index;Lodge Sudan;Marketing;2023-04-11;invoice bluetooth
3;43660;connecting;interactive Coordinator infrastructures;Incredible;2023-04-10;Soft SMS
4;40281;Grass-roots redundant Springs;card Avon;Avon Liaison;2023-04-10;bandwidth Object-based
5;41622;rich protocol;pink;ADP non-volatile Car;2023-04-11;Savings
6;19681;maroon;parse PCI;Kids Kids;2023-04-11;clear-thinking Refined
7;11749;quantifying back-end;Account reboot;Liberian District Representative;2023-04-11;Drive New online
8;73590;Chips withdrawal;Bacon eco-centric Shilling;holistic bluetooth;2023-04-10;Proactive deliver
9;4111;Tennessee Granite Lempira;e-tailers Account;secondary;2023-04-10;Rubber
10;29556;virtual;Buckinghamshire;Station web-readiness Factors;2023-04-10;Home
