id;sales_order_doc_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;42728;generating Functionality Fantastic;back-end Stand-alone;Markets Horizontal solutions;2022-12-12;Account Awesome
2;50988;purple;incubate Identity;auxiliary;2022-12-12;Granite
3;15109;Overpass turn-key cross-platform;pixel Technician transform;partnerships;2022-12-12;infrastructures Metal invoice
4;1083;Strategist enterprise Response;Consultant Customer B2B;Direct;2022-12-13;salmon
5;21942;Bedfordshire Chips access;Liberia Guarani JBOD;non-volatile Berkshire extend;2022-12-13;Frozen Unbranded Keyboard
6;39758;Vermont Oman Cheese;Soap ubiquitous;Home maximized Dong;2022-12-13;Executive AI Kwacha
7;72624;Bedfordshire deposit;Metal;SMTP;2022-12-13;compelling Hat Fiji
8;74249;Wisconsin;ivory BCEAO;area Jewelery;2022-12-12;Generic Handmade reboot
9;24812;invoice Enterprise-wide black;policy navigating;Adaptive SMS;2022-12-12;Orchard streamline Generic
10;36822;matrix Mouse red;Soft Markets;Liberia;2022-12-13;Director Court withdrawal
