id;item_procdre_cde_map_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;64051;Handcrafted green;Maine CFP;experiences Leone;2023-04-10;Health
2;92956;Market Buckinghamshire primary;Ameliorated sticky Kids;PNG JBOD Applications;2023-04-11;green Soft
3;27537;Pants;transmit relationships;world-class dynamic;2023-04-10;Savings
4;33978;Cambodia Handmade;Infrastructure Canadian Specialist;synergy deliverables;2023-04-10;syndicate embrace
5;74645;Illinois synthesizing Keyboard;Delaware Engineer;portal wireless;2023-04-10;payment Account
6;38922;Designer Wyoming;Metal Extended;Gorgeous;2023-04-10;hacking
7;37203;indexing auxiliary technologies;Cambridgeshire Generic;Open-architected National;2023-04-10;redundant invoice
8;83276;transmitting Granite;Isle Samoa FTP;ROI Manager online;2023-04-10;Product RSS
9;38394;tolerance;composite calculating;multi-byte Louisiana Music;2023-04-10;Shilling Account
10;8497;compressing application deposit;Senior;transmitter;2023-04-10;encoding Dynamic
