id;funal_abity_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;52193;eyeballs mesh;challenge Fresh;payment;2023-01-22;Health pink
2;18678;Program orchestration;tan;Pizza Maryland;2023-01-23;Architect
3;48013;function Devolved;Cambridgeshire Sports;Washington;2023-01-22;Branding Computer
4;96373;Avon Checking;Mexico productivity Dinar;Handcrafted;2023-01-23;Platinum
5;4921;deposit;Planner Soap encompassing;application Tenge Health;2023-01-22;enhance
6;51426;Usability Senior Gorgeous;Shoal Unbranded;Marks;2023-01-22;Intelligent hack bifurcated
7;22428;streamline;Plastic Granite;reinvent calculating;2023-01-23;Chair Streamlined
8;10632;hacking Fantastic;world-class;bandwidth Internal Mauritius;2023-01-22;up
9;79343;Uganda Representative initiatives;Utah;Liaison Falls;2023-01-22;Ethiopian
10;34336;4th Legacy;Industrial;Awesome;2023-01-23;emulation Health Practical
