sals_odr_clincal_detils_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;Awesome virtual Colorado;SAS;Table;2022-12-13;payment hacking Metical
2;Marketing;Unbranded Cheese Tools;Music;2022-12-12;ivory program
3;quantify Communications hard;lime Frozen installation;strategy;2022-12-12;data-warehouse Tasty
4;green transmitting payment;Sleek Alabama virtual;Rubber;2022-12-13;Producer Orchestrator
5;Mount Future;Manager Pizza silver;Liaison Nakfa impactful;2022-12-12;Producer
6;Frozen supply-chains New;next Rustic;Handcrafted compressing;2022-12-12;Open-architected
7;Baby York Bedfordshire;California;Dinar Music;2022-12-12;Investor Global panel
8;Marketing;multi-byte Ergonomic Tala;Diverse 1080p Pizza;2022-12-12;Licensed Baby
9;Parkways transmitter e-business;Executive maroon;Awesome Bedfordshire Berkshire;2022-12-12;Branding Investment North
10;Dynamic Cambridgeshire;rich;Florida holistic;2022-12-12;EXE
