id;insrnce_grp_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;94154;deposit global JBOD;JSON JBOD;AI Fantastic override;2023-04-03;Creative
2;72142;payment compress Tuna;website Sleek;Frozen bypassing;2023-04-02;New Metal Rubber
3;542;Nepalese Programmable Dollar;Cameroon;redefine Fork;2023-04-02;utilisation
4;39572;Functionality Guinea;platforms;gold;2023-04-03;deposit Games
5;43492;Borders;Pound Towels Gorgeous;compressing optical integrated;2023-04-02;neutral Borders Cambridgeshire
6;14457;deposit blue;Salad;Rupee Computers COM;2023-04-03;Reunion Beauty
7;96058;driver;withdrawal Keys;Borders Cross-platform;2023-04-03;Tennessee
8;73362;Assistant 3rd GB;Jersey;users application;2023-04-02;extensible superstructure
9;87130;Beauty Plastic;Assistant synthesizing withdrawal;partnerships;2023-04-02;Islands hack neutral
10;27855;holistic Keyboard Avon;Malaysia users Kuwait;Technician Rial;2023-04-03;input
