elligibility_response_benefitinformation_id;elligibility_response_status_id;benefitsinformation_code;benefitsinformation_name;coverage_level_code;service_type_codes;insurance_type_code;plan_coverage;benefits_date_information;elligibility_response_benefit_information_uuid
1;20182;program;access;overriding driver;Ergonomic Grocery;tan Car;indexing eco-centric turquoise;Analyst overriding productize;865e4d24-c42e-45ae-98eb-30235d727cba
2;96385;Focused;synergies Car technologies;Intelligent Directives;content;sticky;transmit Keyboard;Borders drive Adaptive;3580f610-bba8-4bab-97ae-d0e5aef8dd61
3;29632;violet protocol;Cotton;Baby;database system infomediaries;teal SAS Incredible;Practical;Ports Berkshire;e2a0c20b-15b8-4624-87e2-19c410dc2dd0
4;50525;Kentucky Fully-configurable Bedfordshire;input Dynamic;tan flexibility;connecting Regional Cambridgeshire;Republic;Greens Oro Profound;Agent Afghani;f7d7d829-ae78-4949-8853-281302625b11
5;27360;indigo hacking;synthesize Fresh content;Borders;Tasty;teal bleeding-edge analyzing;Consultant;web-enabled invoice;48fa7bad-d103-4a6f-b4a6-5da8ae78bf4a
6;97459;Intranet;Road;Division;Utah;Plastic;EXE Gorgeous Gorgeous;SMS Re-contextualized;26f63195-f4ca-4411-8c8f-a192c4abd30e
7;92220;web-enabled compress;Chair USB;transmitter Rue;harness;e-enable;Cotton;Soft Avon SDD;22bd6ffa-793f-4ee9-a7dc-debfc5f7743f
8;5656;protocol Thailand Small;Regional Frozen;Investor indigo copy;matrix Belize;web Zloty synthesize;Dynamic;target;074280b4-ccb8-4afa-bb1c-d23ec5a1f282
9;97382;Centers Utah white;Garden Soft wireless;conglomeration Corporate;Bedfordshire;Shoes Avon core;Grove clicks-and-mortar;Montana disintermediate deposit;d3644c8d-bc5e-4547-8553-f6d8a4bf56c7
10;98224;Facilitator Maryland calculate;Human database;(E.M.U.-6) connecting;Sao;morph Afghani Implemented;Tuna multi-byte;website THX;15024e4a-5966-4578-a29b-89158e5557ac
