role_id;role_code;role_name;role_description;role_no;status;created_by_id;created_date;updated_by_id;created_by_name;updated_by_name;role_master_uuid;updated_date
1;Table Kentucky redundant;grey Dinar pink;Customer-focused;sky technologies;robust Checking;76919;2023-06-28;49570;Pants Sri;ability Associate silver;951bfe90-6dd3-4cdd-8ea9-2465215846d9;2023-06-29
2;AGP Maryland;back-end invoice;budgetary;platforms Frozen driver;Radial Buckinghamshire;99428;2023-06-28;33780;Product encryption;Accountability;108bbd40-2311-41e3-bfc2-2938400472f5;2023-06-28
3;background deposit;SDD;withdrawal California Pizza;Executive Pizza;Michigan payment Fresh;59279;2023-06-28;32267;Automated;Bedfordshire Berkshire;e86e4b52-dde0-49a2-b9d3-c7579d765ebb;2023-06-29
4;ADP encompassing;CSS Communications;primary;Flat Taka;transmit;35047;2023-06-29;14136;Mouse Tennessee;Dynamic User-centric Practical;f096918f-36b4-488d-9b56-559b642cccf1;2023-06-28
5;Rubber South;Steel Unbranded;Niger;Cuban multi-byte East;Mayotte;35617;2023-06-29;77100;granular Principal green;viral;f6df5832-dce2-4350-ad51-bc4a77685220;2023-06-28
6;Rupiah;Investor incubate;challenge Bedfordshire;District Configurable hacking;Dynamic Shoal;76485;2023-06-28;62704;infrastructures;Missouri Cotton Towels;0f70c6ab-7ca8-4e8c-9569-9aae24f25596;2023-06-28
7;Implementation synergies;applications Chips interactive;Pizza Identity;Nauru haptic Borders;monetize;60809;2023-06-28;87048;Mouse disintermediate back;Account Unbranded;954a1e86-97f1-47f5-b9f8-873abcb193a4;2023-06-29
8;Oklahoma;Electronics;synergies;generation Customer-focused paradigms;Mauritius;61375;2023-06-28;54961;Borders;Implemented Integration Spurs;6427d4f7-b027-4802-b253-6a1c7b83b24d;2023-06-29
9;Soft;Sausages Cambridgeshire Turnpike;front-end indexing;Tools;National Games Borders;69761;2023-06-28;64793;Chair Manors capacitor;eyeballs invoice Zambia;7a7cbd3c-c69b-49dc-8960-5b395b88fe77;2023-06-28
10;Garden Optimized Digitized;mobile yellow;Stravenue Movies;Licensed Interface intermediate;and orchestrate;85683;2023-06-29;21934;Plastic;Bedfordshire withdrawal Operative;17454a0f-575e-4f8c-88f4-ebe3bc01a130;2023-06-29
