hcpcs_dme_id;hcpcs_code;dme_group_name;dme_group_id;status;created_date;created_by_id;created_by_name;updated_date;updated_by_id;updated_by_name;hcpcs_dme_group_master_uuid
1;solid Wooden;strategize;46649;action-items;2023-03-02;27620;Granite;2023-03-02;58323;Data supply-chains functionalities;b65d4cbe-6641-404e-89d4-4632a049cde8
2;Senior compressing;bricks-and-clicks bottom-line;36594;reboot sexy Quality;2023-03-02;37901;Operative Minnesota optimal;2023-03-02;992;AGP bandwidth;887b24ed-f58b-4e25-8589-48bf72991940
3;Handmade maximize;Open-source service-desk;12524;generating;2023-03-03;84907;Triple-buffered;2023-03-02;6143;Guyana Yemeni quantify;0928f108-c6bc-496c-9905-9ad847293f5a
4;visionary;indexing Research;55734;online Mississippi Practical;2023-03-03;15649;Club Ball;2023-03-03;86013;compress;a674b531-73ec-4033-8f7c-b229d56a983b
5;Pennsylvania action-items;application;30936;non-volatile;2023-03-03;76405;sexy;2023-03-03;79575;Awesome;afcfb2ae-0bd3-40e9-a461-f518b21a3b80
6;feed;Down-sized;88634;alarm Associate;2023-03-03;69331;connect Bacon;2023-03-02;17301;connect disintermediate Arizona;5e762a5e-fa51-424e-8568-922626821665
7;Lek;Botswana;8564;system Facilitator;2023-03-02;34298;Cloned;2023-03-03;15804;Intelligent;d5536a14-489c-4130-9a3c-c4d936d9a127
8;Chips;Outdoors content;7720;AI primary Legacy;2023-03-03;96580;payment;2023-03-03;80113;Creative calculating;01a3412e-9bd4-44ee-9649-1a8ee34caaf2
9;Concrete;end-to-end Frozen;69111;Shoes hacking;2023-03-03;66493;Handcrafted;2023-03-02;10256;Generic synthesize;9a3d1b29-d6ae-4e82-ad77-1a530156bf7c
10;solid Officer;Cambodia Intranet;59829;backing;2023-03-03;29486;interface;2023-03-03;92300;methodology 24/365 payment;6411bc2a-e916-4d30-b1e7-eeb1438e2e12
