document_type_id;document_type_name;created_by_id;created_date;status;updated_by_id;updated_date;created_by_name;updated_by_name;document_type_master_uuid
1;Minnesota;open-source Berkshire;2023-04-03;distributed;32230;2023-04-03;Profound;global Frozen systems;b1876c7b-1a98-4d8b-99fb-241716f9efed
2;orchestrate;Frozen invoice;2023-04-02;magnetic Cotton XSS;76895;2023-04-02;Nebraska optical connecting;Ports collaborative mindshare;2221bec7-10e1-406b-8203-ed55ebfae357
3;Borders;violet;2023-04-02;Bedfordshire;18873;2023-04-02;Uruguay;Indiana;cda60841-9d6f-42e5-a756-4457c61549c7
4;Technician violet Fresh;Flats Handcrafted;2023-04-02;SMTP innovative;42686;2023-04-02;e-commerce fuchsia;Beauty;c73b427e-c1ee-42ae-ade5-1fbe1d2bdbff
5;primary interface;Universal;2023-04-03;infrastructure;86623;2023-04-02;Supervisor Account;program digital;e58dabe2-3042-43c7-a1ef-5d6ec125a11e
6;eyeballs;even-keeled;2023-04-02;New gold;83831;2023-04-03;District Account;strategic;5fbe6802-bc5d-466f-a9df-3cf0b6d9df9b
7;leverage Equatorial Beauty;Account Fish navigate;2023-04-02;Computer array;52759;2023-04-03;Analyst;pink;7e587c79-2290-40ea-9482-7e49e8d6ded4
8;Fresh Mississippi;bi-directional indexing Idaho;2023-04-03;Steel bluetooth;40911;2023-04-03;Balboa up;Account Buckinghamshire magenta;6ab2c5b9-d5a5-4ca1-adfd-c488e5843fb5
9;orange port;Internal ivory disintermediate;2023-04-02;Licensed sensor;80461;2023-04-03;Danish impactful reintermediate;Money;b82f8b8b-bc90-488e-ad09-a52d55beb9ca
10;Consultant Down-sized Plastic;Steel;2023-04-03;magenta generating Generic;66716;2023-04-02;incremental;Officer Director;cf903e6b-b580-4be6-b7f6-92bc4515fdc6
