par_request_details_id;par_request_type;par_id;par_no;par_initiation_date;par_no_effetive_start_date;par_no_effetive_end_date;par_authorised_by;par_request_doc_name;par_request_doc_location;par_request_fax_number;par_request_fax_status;par_request_fax_datetime;fax_response_status;par_request_response_doc_name;doc_qr_code;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;par_request_details_uuid;fax_response_date
1;exploit RSS;10217;Web embrace Coordinator;2023-04-26;2023-04-26;2023-04-26;quantifying mobile cross-platform;Marketing Gateway;multi-byte haptic;Awesome calculating Borders;Metal PCI Car;2023-04-27T01:32:21;Reduced;Berkshire synthesize;COM;revolutionary payment;52756;Card Advanced;2023-04-26;98993;initiatives Computer;2023-04-27;58c84743-cbf5-43a1-bc97-307b62db6f8b;2023-04-26
2;Communications Tools;24358;Business-focused Towels;2023-04-26;2023-04-26;2023-04-27;set customer indexing;Table;View;Finland Generic;cyan;2023-04-26T16:28:45;Mission;Reduced Bedfordshire withdrawal;Greece Hat;Computer Administrator;30968;array connect;2023-04-26;51575;Mandatory;2023-04-26;2ffe82d2-0a9c-4d52-a79f-4796c517c6a0;2023-04-26
3;Operations bluetooth Computer;89581;magnetic empowering Ameliorated;2023-04-26;2023-04-27;2023-04-26;alliance integrate;matrix Administrator SAS;Frozen;Wooden Street;Handmade program synthesizing;2023-04-27T05:03:56;Awesome;Checking Automated;mission-critical;Supervisor;307;pink SMS;2023-04-26;71587;Field ADP Keyboard;2023-04-26;4b124b50-67b9-42ab-928b-08687d28f559;2023-04-26
4;cross-platform high-level;83771;networks;2023-04-26;2023-04-27;2023-04-27;Maryland Bedfordshire reboot;Multi-tiered Central Car;Creative payment;Developer Account Bedfordshire;impactful;2023-04-26T20:38:52;Stravenue Idaho;leading markets;compelling Lesotho global;Dollar;10348;Market;2023-04-27;19458;Persevering;2023-04-26;222e26de-e8f3-4dae-9f45-b10c1e60c6ff;2023-04-27
5;flexibility;26855;deliver RSS Technician;2023-04-26;2023-04-26;2023-04-26;National programming leading-edge;Pants input;Right-sized solutions;Ports deposit;Orchestrator Nevada;2023-04-26T15:54:12;Handmade Metal Movies;Gorgeous Dynamic online;Unbranded Ethiopian Chief;AI Delaware Sri;75923;USB;2023-04-27;10030;Account Handcrafted;2023-04-26;a0ec5ba0-ebbc-47e5-8cd0-cd064421cd46;2023-04-26
6;hacking Equatorial;97878;Buckinghamshire Latvian;2023-04-26;2023-04-27;2023-04-26;Cheese zero sticky;Louisiana Metal neural-net;sensor UIC-Franc Fish;IB;Account Interface Tools;2023-04-26T14:13:15;extranet Cheese Jersey;New Stravenue repurpose;Soap Orchestrator;value-added Small invoice;953;holistic;2023-04-27;69063;Kansas TCP;2023-04-27;faed981c-f9c2-44d7-8cfc-7de377507c01;2023-04-26
7;bifurcated;93146;TCP Direct;2023-04-26;2023-04-26;2023-04-26;maroon Executive Senior;frame info-mediaries;Balanced panel;Manor Handmade Practical;repurpose CFA;2023-04-27T00:34:01;Turkish Indiana;enhance application;SSL parsing;utilize Sleek;36802;synthesize Wooden Toys;2023-04-26;71702;green Self-enabling;2023-04-26;ab476955-e55f-4c3c-ae52-2bc52ff9c4d0;2023-04-26
8;salmon orange;53339;aggregate Garden Card;2023-04-27;2023-04-26;2023-04-26;Assistant generate;navigate Synergized Account;Inverse;Cheese;Sausages Soap;2023-04-27T03:56:20;Producer;Kwacha Manat;24/365 haptic;Account;15314;Specialist redundant SAS;2023-04-27;35694;Jewelery portals pink;2023-04-27;7ec8122f-ed92-4b07-9863-d3a405d8d60f;2023-04-26
9;Meadow;46181;Sahara Frozen;2023-04-26;2023-04-26;2023-04-26;Pakistan Markets;AI;composite bypassing;implementation JBOD Berkshire;Maine archive;2023-04-26T07:53:19;Credit;User-centric Shoes Director;pink;Licensed;92549;Small green;2023-04-26;49536;Berkshire Upgradable Computers;2023-04-26;5157ec48-ccb3-406c-96ba-347ed0865480;2023-04-26
10;Tennessee;97433;Chief overriding;2023-04-26;2023-04-26;2023-04-26;Avon;teal Mongolia Wyoming;Springs;Adaptive invoice;circuit;2023-04-26T22:12:42;Configurable Wooden;Leone Customer;Security Mongolia Account;Greece capacitor Ergonomic;95356;Rustic invoice composite;2023-04-26;3353;panel copy Chair;2023-04-26;c7278f9b-c496-4521-96a7-557b88dd3fb6;2023-04-26
