id;worers_comenation_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;65858;array B2B;Cyprus Heard;Virginia;2023-01-22;payment Market
2;26228;SCSI virtual deliverables;Leu Sleek;Unions Alabama Salad;2023-01-23;connecting
3;71557;Corporate;Checking Circles Shilling;International Zimbabwe Shoes;2023-01-23;deliverables
4;17120;Granite Borders target;Lev;connect Plain;2023-01-23;green Implemented
5;4103;SCSI;Fresh function Function-based;transmit mobile;2023-01-22;implementation back-end
6;51876;New Baby Wooden;project Producer;microchip;2023-01-23;auxiliary
7;32924;Thailand payment Inlet;Forward Nebraska Jersey;Shirt deposit Down-sized;2023-01-22;HDD
8;10914;Savings;optimal magnetic;secured Berkshire calculating;2023-01-22;Texas transmitter Dinar
9;9915;Regional mobile;Analyst azure;Future Agent;2023-01-22;engine violet Applications
10;41990;PCI deposit Orchard;generation impactful;Gloves real-time;2023-01-23;Home yellow Forges
