id;stp_rason_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;75677;Dakota Concrete Tunisian;hacking payment;Configuration;2023-04-02;target
2;37063;efficient Facilitator AGP;generating;Rustic Sleek;2023-04-02;Movies
3;79796;Credit cutting-edge Hat;Steel Focused;Cambridgeshire;2023-04-02;withdrawal
4;37965;Toys;Networked Garden Greece;Director;2023-04-02;recontextualize
5;24408;Lead Birr Buckinghamshire;Forward;programming Toys;2023-04-03;granular AGP
6;11196;Avon;didactic;alarm Handcrafted;2023-04-02;Arab
7;783;Future;Caribbean;mint Pakistan;2023-04-02;synergy
8;49116;Grocery;system-worthy;Intuitive Thailand Towels;2023-04-03;virtual
9;8906;invoice Dakota Tunnel;navigate;Cotton Accounts;2023-04-03;directional Soft
10;98703;e-enable;Iowa open-source bypass;Corporate SCSI;2023-04-02;green Valleys
